Dados Cadastrais ,,,,,,,,,,,,, Múltiplos ,,, Proventos ,, Estrutura de Capital ,,,,, Liquidez das Cotas ,,
Nome , CNPJ , Código de Neg. , Participação no IFIX , Segmento de Listagem , Presença em Pregões , Valor de Mercado , Segmento de Atuação , Mandato , Taxa de Administração , Taxa de Performance , Regulamento do Fundo , Data de Início , P/VPA , VPA , Cotação , Provento por Cota , Dividend Yield , Patrimônio , Ativo Total , Passivo Total , Alavancagem , Data do Balanço Mais Recente , Volume Médio Diário (12 Meses) , Volume Médio Diário (Mês) , Análise 
FI Imobilia-Unica ,29216463000177, MGFF11 ,0.47%, Tradicional ,100%," R$491,811 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=138608 ,27/03/2018,0.78, R$69.60 , R$54.34 , R$6.66 ,10.7%," R$629,918 "," R$636,008 "," R$6,090 ",0.96%,31/01/2023," R$1,004 ", 734 , Liquidez Alta 
Banestes Recebiveis Imobiliari-Unica ,22219335000138, BCRI11 ,0.55%, Tradicional ,100%," R$575,161 ", TVM , FII TVM Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=80005 ,07/05/2015,0.92, R$100.38 , R$91.91 , R$14.15 ,12.8%," R$628,182 "," R$636,781 "," R$8,599 ",1.35%,31/01/2023, R$922 , 610 , Liquidez Alta 
FII BTG Pactual Agro Logistica-Unica ,36642244000115, BTAL11 ,0.49%, Tradicional ,100%," R$509,909 ", Outros , FII Renda Gestão Ativa ,Consultar Regulamento, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=142210 ,28/01/2021,0.81, R$104.79 , R$85.23 , R$9.93 ,10.4%," R$626,919 "," R$636,883 "," R$9,964 ",1.56%,31/01/2023, R$995 , 869 , Liquidez Alta 
Sdi ,16671412000193, SDIL11 ,0.55%, Tradicional ,100%," R$575,171 ", Logistica , FII Renda Gestão Ativa ,Consultar Regulamento, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=107478 ,07/12/2012,0.92, R$97.57 , R$89.94 , R$9.44 ,10.7%," R$623,975 "," R$845,954 "," R$221,979 ",26.24%,31/01/2023, R$896 , 745 , Liquidez Alta 
FI Imobilia-Unica ,30166700000111, RBRY11 ,0.50%, Tradicional ,100%," R$532,881 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=198141 ,24/05/2018,0.96, R$99.78 , R$96.07 , R$14.16 ,13.5%," R$553,437 "," R$572,352 "," R$18,915 ",3.30%,31/01/2023," R$1,065 "," 1,251 ", Liquidez Alta 
FII Xp Properties ,30654849000140, XPPR11 ,0.19%, Tradicional ,100%," R$196,439 ", Híbrido , FII Hibrido Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=62624 ,01/01/2019,0.36, R$74.55 , R$26.85 , R$3.95 ,6.8%," R$545,398 "," R$1,008,493 "," R$463,095 ",45.92%,31/01/2023, R$796 , 542 , Liquidez Alta 
FII Guardian Logistica-Unica ,37295919000160, GALG11 ,0.46%, Tradicional ,100%," R$480,577 ", Híbrido , FII Hibrido Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=344154 ,02/10/2020,0.90, R$9.32 , R$8.36 , R$0.98 ,10.2%," R$535,708 "," R$915,805 "," R$380,097 ",41.50%,31/01/2023, R$740 , 460 , Liquidez Alta 
Riza Akin Fundo de Investiment-Unica ,36642219000131, RZAK11 ,0.74%, Tradicional ,100%," R$542,377 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=397996 ,21/12/2020,1.04, R$93.29 , R$96.96 , R$17.86 ,19.7%," R$521,840 "," R$533,150 "," R$11,310 ",2.12%,31/01/2023," R$2,194 "," 3,307 ", Liquidez Alta 
Tordesilhas Ei FII-Unica ,30230870000118, TORD11 ,0.19%, Tradicional ,100%," R$198,040 ", Outros , FII Desenv. para Venda Gestão Ativa ,2%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=249400 ,30/08/2019,0.40, R$13.99 , R$5.65 , R$0.89 ,9.6%," R$490,441 "," R$490,826 ", R$385 ,0.08%,31/01/2023, R$599 , 431 , Liquidez Alta 
Patria Logistica Fundo de Inve-Unica ,35754164000199, PATL11 ,0.29%, Tradicional ,100%," R$305,931 ", Híbrido , FII Hibrido Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=324565 ,05/08/2020,0.63, R$98.02 , R$61.29 , R$6.98 ,9.3%," R$489,270 "," R$492,728 "," R$3,458 ",0.70%,31/01/2023, R$989 , 504 , Liquidez Alta 
FII BTG Pactual Terras Agricol-Unica ,41076607000132, BTRA11 ,0.27%, Tradicional ,100%," R$283,599 ", Outros , FII Renda Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=177739 ,29/06/2021,0.61, R$138.69 , R$84.29 , R$9.91 ,10.1%," R$466,641 "," R$510,470 "," R$43,829 ",8.59%,31/01/2023, R$693 , 503 , Liquidez Alta 
Autonomy Edificios Corporativo-Unica ,35765826000126, AIEC11 ,0.28%, Tradicional ,100%," R$300,066 ", Lajes Corporativas , FII Renda Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=422862 ,02/09/2020,0.66, R$94.22 , R$62.19 , R$9.47 ,12.3%," R$454,619 "," R$455,640 "," R$1,021 ",0.22%,31/01/2023, R$527 , 351 , Liquidez Alta 
FI Imobiliario Barigu ,29267567000100, BARI11 ,0.36%, Tradicional ,100%," R$377,640 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=117331 ,12/12/2018,0.86, R$95.20 , R$81.49 , R$13.40 ,12.9%," R$441,182 "," R$445,353 "," R$4,171 ",0.94%,31/01/2023, R$929 , 704 , Liquidez Alta 
Merito Desenvolvimento Imobiliario FII ,16915968000188, MFII11 ,0.37%, Tradicional ,100%," R$392,380 ", Híbrido , FII Hibrido Gestão Ativa ,2%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=371551 ,06/03/2013,0.92, R$103.14 , R$94.62 , R$13.31 ,12.7%," R$427,711 "," R$432,949 "," R$5,238 ",1.21%,31/01/2023, R$341 , 265 , Liquidez Moderada 
Suno Recebiveis FII-Unica ,41076710000182, SNCI11 ,0.39%, Tradicional ,100%," R$411,684 ", TVM , FII TVM Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=222998 ,05/07/2021,1.01, R$97.40 , R$98.02 , R$14.25 ,13.9%," R$409,073 "," R$432,477 "," R$23,405 ",5.41%,31/01/2023," R$1,603 ", 934 , Liquidez Alta 
Tellus Properties FII ,26681370000125, TEPP11 ,0.27%, Tradicional ,100%," R$281,732 ", Lajes Corporativas , FII Renda Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=92574 ,23/09/2019,0.70, R$95.56 , R$66.73 , R$5.95 ,8.7%," R$403,454 "," R$467,454 "," R$64,000 ",13.69%,31/01/2023, R$478 , 641 , Liquidez Moderada 
Kinea Fundo de Fundos de Inves-Unica ,30091444000140, KFOF11 ,0.34%, Tradicional ,100%," R$352,692 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=97295 ,03/09/2018,0.88, R$88.14 , R$77.80 , R$8.46 ,11.3%," R$399,581 "," R$403,423 "," R$3,842 ",0.95%,31/01/2023, R$700 , 923 , Liquidez Alta 
Kilima Fc de FII Suno 30-Unica ,36669660000107, KISU11 ,0.33%, Tradicional ,100%," R$353,126 ", TVM , FII TVM Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=154429 ,08/10/2020,0.94, R$8.50 , R$7.99 , R$0.91 ,11.8%," R$375,784 "," R$379,861 "," R$4,077 ",1.07%,31/01/2023," R$1,005 ", 734 , Liquidez Alta 
Riza Arctium Real Estate FII-Unica ,28267696000136, RZAT11 ,0.29%, Tradicional ,100%," R$310,003 ", Outros , FII Hibrido Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=155303 ,23/05/2019,0.83, R$100.21 , R$83.60 , R$13.92 ,12.8%," R$371,584 "," R$379,143 "," R$7,559 ",1.99%,31/01/2023," R$1,856 "," 1,053 ", Liquidez Alta 
Polo Cred Imob FII-Unica ,17156502000109, PORD11 ,0.31%, Tradicional ,100%," R$322,094 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=239929 ,04/01/2013,0.89, R$97.51 , R$86.39 , R$14.50 ,15.3%," R$363,550 "," R$370,131 "," R$6,581 ",1.78%,31/01/2023, R$751 , 681 , Liquidez Alta 
Bradesco Carteira Imobiliaria -Classe Un ,20216935000117, BCIA11 ,0.29%, Tradicional ,100%," R$306,635 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=102194 ,19/05/2015,0.85, R$97.51 , R$82.45 , R$8.93 ,10.6%," R$362,633 "," R$365,629 "," R$2,997 ",0.82%,31/01/2023, R$349 , 435 , Liquidez Moderada 
Bluemacaw Logistica Fundo de I-Unica ,34081637000171, BLMG11 ,0.25%, Tradicional ,100%," R$258,701 ", Híbrido , FII Hibrido Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=143289 ,21/10/2020,0.72, R$94.91 , R$67.89 , R$9.59 ,10.6%," R$361,650 "," R$441,425 "," R$79,775 ",18.07%,31/01/2023, R$594 , 479 , Liquidez Alta 
Xp Selection FII-Unica ,30983020000190, XPSF11 ,0.30%, Tradicional ,100%," R$309,610 ", TVM , FII TVM Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=198148 ,10/07/2019,0.88, R$8.14 , R$7.15 , R$0.88 ,12.6%," R$352,456 "," R$356,267 "," R$3,811 ",1.07%,31/01/2023, R$725 , 732 , Liquidez Alta 
Hedge Office Income Fundo de I-Unica ,31894369000119, HOFC11 ,0.09%, Tradicional ,100%," R$92,397 ", Lajes Corporativas , FII Renda Gestão Ativa ,Consultar Regulamento, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=353841 ,12/07/2019,0.27, R$90.52 , R$24.45 , R$2.69 ,5.4%," R$342,074 "," R$401,413 "," R$59,339 ",14.78%,31/01/2023, R$180 , 203 , Liquidez Moderada 
Ourinvest Jpp Fundo de Investi-Classe Un ,26091656000150, OUJP11 ,0.30%, Tradicional ,100%," R$309,725 ", Híbrido , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=261968 ,17/01/2017,0.95, R$99.79 , R$95.23 , R$15.40 ,17.1%," R$324,548 "," R$328,942 "," R$4,394 ",1.34%,31/01/2023, R$766 , 885 , Liquidez Alta 
FI Imobiliario Brasil Plural A-Unica ,17324357000128, BPFF11 ,0.26%, Tradicional ,100%," R$271,561 ", TVM , FII Renda Gestão Ativa ,0%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=285628 ,15/04/2013,0.84, R$71.74 , R$60.45 , R$8.05 ,12.5%," R$322,270 "," R$325,212 "," R$2,943 ",0.90%,31/01/2023, R$452 , 345 , Liquidez Moderada 
Santander Papeis Imobiliarios -Unica ,32903521000145, SADI11 ,0.27%, Tradicional ,100%," R$285,265 ", TVM , FII TVM Gestão Ativa ,Consultar Regulamento, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=124014 ,02/08/2019,0.91, R$98.63 , R$89.70 , R$12.41 ,13.9%," R$313,671 "," R$317,384 "," R$3,713 ",1.17%,31/01/2023, R$873 , 450 , Liquidez Alta 
Versalhes Recebiveis Imobiliarios - FI Imobiliario ,36244015000142, VSLH11 ,0.23%, Tradicional ,100%," R$231,447 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=314686 ,08/01/2021,0.74, R$10.48 , R$7.75 , R$1.30 ,13.6%," R$313,055 "," R$314,165 "," R$1,111 ",0.35%,31/01/2023, R$838 , 744 , Liquidez Alta 
Maua Capital Hedge Fund FII-Unica ,36642139000186, MCHF11 ,0.28%, Tradicional ,100%," R$290,123 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=173003 ,01/07/2021,0.95, R$9.43 , R$8.98 , R$1.32 ,12.6%," R$304,515 "," R$309,456 "," R$4,941 ",1.60%,31/01/2023," R$1,125 "," 1,270 ", Liquidez Alta 
Af Invest Cri Fundo de Investi-Unica ,36642293000158, AFHI11 ,0.27%, Tradicional ,100%," R$284,855 ", TVM , FII TVM Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=419288 ,03/03/2021,0.99, R$94.90 , R$94.34 , R$14.21 ,14.1%," R$286,551 "," R$290,735 "," R$4,184 ",1.44%,31/01/2023, R$795 , 671 , Liquidez Alta 
Quasar Agro - FI Imob ,32754734000152, QAGR11 ,0.20%, Tradicional ,100%," R$207,194 ", Outros , FII Renda Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=374625 ,07/11/2019,0.74, R$55.83 , R$41.11 , R$4.87 ,9.9%," R$281,369 "," R$288,309 "," R$6,940 ",2.41%,31/01/2023, R$368 , 318 , Liquidez Moderada 
Logcp Inter Fundos de Investim-Unica ,34598181000111, LGCP11 ,0.19%, Tradicional ,100%," R$202,232 ", Logistica , FII Renda Gestão Ativa ,0%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=389338 ,28/11/2019,0.72, R$102.78 , R$74.00 , R$7.36 ,9.3%," R$280,880 "," R$282,766 "," R$1,886 ",0.67%,31/01/2023, R$345 , 192 , Liquidez Moderada 
Hosp Nossa Senhora de Lourdes -Unica ,8014513000163, NSLU11 ,0.20%, Tradicional ,100%," R$214,647 ", Hospital , FII Renda Gestão Passiva ,Consultar Regulamento, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=19810 ,20/04/2006,0.83, R$199.02 , R$165.97 , R$10.67 ,5.4%," R$257,396 "," R$261,673 "," R$4,277 ",1.63%,31/01/2023, R$375 , 103 , Liquidez Moderada 
Whg Real Estate FII-Classe Un ,41256643000188, WHGR11 ,0.20%, Tradicional ,76%," R$211,505 ", Híbrido , FII Hibrido Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=366418 ,08/12/2021,0.85, R$9.96 , R$8.43 , - ,N/D," R$249,781 "," R$252,555 "," R$2,774 ",1.10%,31/01/2023, - , 469 , Liquidez Alta 
Vinci Imoveis Urbanos Fundo de ,36445587000190, VIUR11 ,0.17%, Tradicional ,100%," R$174,612 ", Outros , FII Renda Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=170860 ,28/05/2021,0.71, R$9.19 , R$6.48 , R$0.87 ,11.8%," R$247,506 "," R$371,231 "," R$123,725 ",33.33%,31/01/2023, R$292 , 347 , Liquidez Moderada 
Suno Fundo de Fundos de Invest-Unica ,40011225000168, SNFF11 ,0.23%, Tradicional ,100%," R$240,126 ", TVM , FII TVM Gestão Ativa ,Consultar Regulamento, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=157040 ,03/05/2021,0.98, R$86.42 , R$84.85 , R$9.25 ,10.8%," R$244,579 "," R$247,312 "," R$2,733 ",1.11%,31/01/2023, R$516 , 481 , Liquidez Alta 
CSHG Imobiliario Fof - FII-Unica ,32784898000122, HGFF11 ,0.19%, Tradicional ,100%," R$201,168 ", TVM , FII TVM Gestão Ativa ,Consultar Regulamento, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=118047 ,22/08/2019,0.83, R$84.57 , R$70.25 , R$7.68 ,10.8%," R$242,184 "," R$245,334 "," R$3,150 ",1.28%,31/01/2023, R$546 , 589 , Liquidez Alta 
Rio Bravo Fundo de FII-Unica ,17329029000114, RBFF11 ,0.17%, Tradicional ,100%," R$180,525 ", TVM , FII TVM Gestão Ativa ,Consultar Regulamento, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=374552 ,06/05/2013,0.77, R$62.42 , R$48.15 , R$5.99 ,12.0%," R$234,030 "," R$238,119 "," R$4,089 ",1.72%,31/01/2023, R$526 , 198 , Liquidez Alta 
Hsi Ativos Financeiros - FII-Unica ,35360687000150, HSAF11 ,0.18%, Tradicional ,100%," R$193,620 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=398112 ,03/09/2020,0.84, R$91.07 , R$76.64 , R$12.00 ,12.8%," R$230,073 "," R$232,547 "," R$2,474 ",1.06%,31/01/2023, R$424 , 438 , Liquidez Moderada 
FII Logistica ,27368600000163, VTLT11 ,0.18%, Tradicional ,100%," R$188,024 ", Logistica , FII Renda Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=74578 ,15/12/2017,0.88, R$100.72 , R$88.90 , R$10.06 ,10.9%," R$213,026 "," R$215,183 "," R$2,156 ",1.00%,31/01/2023, R$304 , 215 , Liquidez Moderada 
Capitania Reit Fof - FII-Unica ,34081611000123, CPFF11 ,0.31%, Tradicional ,100%," R$155,099 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=374451 ,23/12/2019,0.78, R$77.44 , R$60.75 , R$7.06 ,9.9%," R$197,712 "," R$203,972 "," R$6,260 ",3.07%,31/01/2023, R$795 , 380 , Liquidez Alta 
Bluemacaw Renda+ Fof Fundo de -Unica ,36368869000130, BLMR11 ,0.15%, Tradicional ,100%," R$160,146 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=129755 ,13/08/2020,0.83, R$7.52 , R$6.27 , R$0.88 ,11.7%," R$192,139 "," R$193,975 "," R$1,836 ",0.95%,31/01/2023, R$479 , 371 , Liquidez Moderada 
Plural Recebiveis Imobiliarios Fundo de ,32527683000126, PLCR11 ,0.17%, Tradicional ,100%," R$176,643 ", TVM , FII TVM Gestão Ativa ,Consultar Regulamento, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=65792 ,06/11/2019,0.93, R$90.42 , R$83.75 , R$13.00 ,15.1%," R$190,718 "," R$193,023 "," R$2,305 ",1.19%,31/01/2023, R$386 , 287 , Liquidez Moderada 
More Real Estate Fof FII Fundo-Unica ,34197727000122, MORE11 ,0.13%, Tradicional ,100%," R$142,162 ", TVM , FII TVM Gestão Ativa ,Consultar Regulamento, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=79244 ,31/01/2020,0.75, R$81.30 , R$61.30 , R$7.96 ,10.5%," R$188,536 "," R$190,424 "," R$1,889 ",0.99%,31/01/2023, R$479 , 300 , Liquidez Moderada 
Cartesia Recebiveis Imobiliari-Unica ,32065364000146, CACR11 ,0.18%, Tradicional ,100%," R$189,238 ", Híbrido , FII Hibrido Gestão Ativa ,Consultar Regulamento, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=269089 ,17/10/2019,1.01, R$103.80 , R$104.70 , R$17.50 ,16.2%," R$187,613 "," R$191,154 "," R$3,541 ",1.85%,31/01/2023, R$445 , 394 , Liquidez Moderada 
FII Rec Logistica-Unica ,37112770000136, RELG11 ,0.09%, Tradicional ,100%," R$94,113 ", Híbrido , FII Renda Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=120230 ,10/09/2020,0.58, R$121.90 , R$70.52 , R$9.38 ,11.6%," R$162,679 "," R$233,964 "," R$71,285 ",30.47%,31/01/2023, R$242 , 66 , Liquidez Moderada 
Rio Bravo Cred Imob -Unica ,30647758000187, RBHG11 ,0.14%, Tradicional ,100%," R$143,545 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=210166 ,16/12/2019,0.90, R$92.52 , R$83.09 , R$14.10 ,16.1%," R$159,834 "," R$161,720 "," R$1,886 ",1.17%,31/01/2023, R$311 , 234 , Liquidez Moderada 
FII Nch Brasil Receb. Imob.-Unica ,18085673000157, NCHB11 ,0.15%, Tradicional ,100%," R$144,800 ", TVM , FII TVM Gestão Ativa ,1%, Não , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=380485 ,13/11/2013,0.95, R$89.37 , R$85.28 , R$15.47 ,16.5%," R$151,737 "," R$153,790 "," R$2,053 ",1.33%,31/01/2023, R$520 , 331 , Liquidez Alta 
More Recebiveis Imobiliarios F-Unica ,40102474000169, MORC11 ,0.12%, Tradicional ,100%," R$121,959 ", TVM , - ,Consultar Regulamento, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=160519 ,06/04/2021,0.97, R$97.62 , R$94.40 , R$15.45 ,15.5%," R$126,116 "," R$136,726 "," R$10,610 ",7.76%,31/01/2023, R$356 , 305 , Liquidez Moderada 
Atrio Reit Recebiveis FII-Unica ,32006821000121, ARRI11 ,0.13%, Tradicional ,100%," R$111,769 ", TVM , FII TVM Gestão Ativa ,1%, Sim , https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=404112 ,31/10/2019,1.03, R$8.85 , R$9.14 , R$1.47 ,14.8%," R$108,250 "," R$112,834 "," R$4,584 ",4.06%,31/01/2023, R$345 , 414 , Liquidez Moderada 
