Dados Cadastrais ,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
Nome , Classe , Código de Neg. , Valor de Mercado , Participação no Ibovespa , Participação no IBRX 100 , Classificação , Seg. Listagem , Setor Bovespa , Subsetor Bovespa , Segmento Bovespa , P/L , L/P , EV/EBITDA , P/VPA , PSR , Cotação , Dividendo por Ação , Lucro por Ação , Dividend Yield , Payout , Patrimônio , Dívida Bruta , Caixa e Equivalentes , Caixa Líquido , Div Bruta/PL , Div. Líquida/Ebitda , Análise ,2015,2016,2017,2018,2019,2020E (últimos 12 meses),Crescimento Médio Anual, FCO , Capex/FCO , Capex/D&A , ROE , ROIC , ROA , Beta , Data do Balanço Mais Recente , Volume Negociado , Quantidade de Negócios , Análise 
CCR SA , ON , CCRO3 ," R$22,159,378 ",0.6%,0.5%, Crescimento , Novo Mercado , Bens industriais , Transporte , Exploração de rodovias ,5.40,18.7%,3.70,1.90,1.20,10.97, R$0.38 , R$2.05 ,3.5%,19%," R$11,464,563 "," R$29,031,254 "," R$5,229,073 "," R$23,802,181 ",2.53,1.78, Dívida Moderada ," R$3,551,992 "," R$5,261,860 "," R$5,052,348 "," R$3,817,776 "," R$5,489,434 "," R$11,682,150 ",27%," R$6,485,584 ",46%,190%,49%,17%,8%,1.01,31/12/2022," R$362,365 "," 71,325 ", Liquidez Alta 
Klabin S/A , ON , KLBN3 ," R$21,629,714 ",-,-, Crescimento , Nível 2 , Materiais básicos , Madeira e papel , Papel e celulose ,4.90,20.5%,4.50,2.30,1.10,3.95, R$0.30 , R$0.81 ,7.5%,37%," R$9,559,484 "," R$27,540,612 "," R$4,683,945 "," R$22,856,667 ",2.88,2.13, Dívida Moderada ," R$2,490,549 "," R$2,821,258 "," R$3,492,539 "," R$4,656,952 "," R$4,719,788 "," R$9,859,749 ",32%," R$8,420,814 ",94%,249%,66%,12%,10%,0.54,31/12/2022," R$9,095 "," 4,149 ", Liquidez Moderada 
Klabin S/A , PN , KLBN4 ," R$21,629,714 ",-,-, Crescimento , Nível 2 , Materiais básicos , Madeira e papel , Papel e celulose ,4.80,20.7%,4.50,2.30,1.10,3.92, R$0.30 , R$0.81 ,7.6%,37%," R$9,559,484 "," R$27,540,612 "," R$4,683,945 "," R$22,856,667 ",2.88,2.13, Dívida Moderada ," R$2,490,549 "," R$2,821,258 "," R$3,492,539 "," R$4,656,952 "," R$4,719,788 "," R$9,859,749 ",32%," R$8,420,814 ",94%,249%,66%,12%,10%,0.44,31/12/2022," R$60,178 "," 12,498 ", Liquidez Alta 
Klabin S/A , UNT N2 , KLBN11 ," R$21,629,714 ",0.8%,0.7%, Crescimento , Nível 2 , Materiais básicos , Madeira e papel , Papel e celulose ,4.80,20.8%,4.50,2.20,1.10,19.53, R$0.30 , R$0.81 ,7.6%,37%," R$9,559,484 "," R$27,540,612 "," R$4,683,945 "," R$22,856,667 ",2.88,2.13, Dívida Moderada ," R$2,490,549 "," R$2,821,258 "," R$3,492,539 "," R$4,656,952 "," R$4,719,788 "," R$9,859,749 ",32%," R$8,420,814 ",94%,249%,66%,12%,10%,0.48,31/12/2022," R$628,618 "," 70,515 ", Liquidez Alta 
Magaz Luiza , ON , MGLU3 ," R$21,296,802 ",0.5%,0.4%," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Comércio , Eletrodomésticos ,-57.60,-1.7%,20.50,2.00,0.60,3.19, R$-   ,-R$0.06 ,0.0%,0%," R$10,805,289 "," R$7,147,965 "," R$1,812,210 "," R$5,335,755 ",0.66,3.92, Baixo Endividamento ," R$464,727 "," R$714,557 "," R$1,030,753 "," R$1,245,241 "," R$1,775,538 "," R$1,285,106 ",23%,"-R$115,593 ",-1196%,134%,-3%,1%,-1%,2.02,30/09/2022," R$1,832,348 "," 205,258 ", Liquidez Alta 
Grupo Natura , ON , NTCO3 ," R$20,473,070 ",0.7%,0.6%," Alerta, Prejuízo ", Novo Mercado , Consumo não cíclico , Produtos de uso pessoal e de limpeza , Produtos de uso pessoal ,-16.10,-6.2%,9.50,0.90,0.50,14.91, R$0.13 ,-R$0.93 ,0.9%,-14%," R$22,984,957 "," R$13,708,010 "," R$3,252,289 "," R$10,455,721 ",0.60,2.93, Baixo Endividamento ," R$1,495,966 "," R$1,343,639 "," R$1,741,993 "," R$1,846,604 "," R$2,468,664 "," R$3,100,654 ",16%," R$696,739 ",193%,51%,-5%,1%,-2%,1.35,30/09/2022," R$1,285,770 "," 164,260 ", Liquidez Alta 
Nu Holdings Ltd , ON , NUBR33 ," R$19,671,161 ",-,-," Alerta, Prejuízo ", BDR nível 3 , Financeiro , Intermediários financeiros , Bancos ,-10.40,-9.6%,-,0.80,-,4.19, R$-   ,-R$0.40 ,0.0%,0%," R$25,810,521 ", - ," R$22,031,497 ", - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$3,902,761 ",-,N/D,-8%,,-1%,-,31/12/2022," R$85,809 "," 45,292 ", Liquidez Alta 
Hapvida , ON , HAPV3 ," R$19,306,606 ",0.7%,0.6%," Alerta, Prejuízo ", Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,-23.70,-4.2%,13.00,0.40,0.80,2.72, R$-   ,-R$0.11 ,0.0%,0%," R$48,749,437 "," R$11,717,681 "," R$1,267,915 "," R$10,449,766 ",0.24,3.50, Baixo Endividamento ," R$348,339 "," R$490,571 "," R$824,440 "," R$912,973 "," R$1,233,320 "," R$2,031,416 ",42%," R$971,907 ",55%,24%,-7%,0%,-1%,1.47,31/12/2022," R$3,676,811 "," 464,741 ", Liquidez Alta 
Copel , ON , CPLE3 ," R$18,546,036 ",-,-, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,19.80,5.1%,6.60,0.80,0.80,6.35, R$0.81 , R$0.32 ,12.7%,251%," R$20,969,719 "," R$13,336,824 "," R$4,329,330 "," R$9,007,494 ",0.64,2.12, Baixo Endividamento ," R$2,585,210 "," R$2,752,398 "," R$2,872,980 "," R$3,143,226 "," R$4,284,517 "," R$4,258,038 ",10%," R$3,660,639 ",27%,78%,4%,5%,2%,0.75,30/09/2022," R$60,277 "," 13,268 ", Liquidez Alta 
Copel , PNB , CPLE6 ," R$18,546,036 ",0.6%,0.5%, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,21.80,4.6%,6.60,0.90,0.80,7.01, R$0.89 , R$0.32 ,12.6%,276%," R$20,969,719 "," R$13,336,824 "," R$4,329,330 "," R$9,007,494 ",0.64,2.12, Baixo Endividamento ," R$2,585,210 "," R$2,752,398 "," R$2,872,980 "," R$3,143,226 "," R$4,284,517 "," R$4,258,038 ",10%," R$3,660,639 ",27%,78%,4%,5%,2%,0.74,30/09/2022," R$624,623 "," 74,384 ", Liquidez Alta 
Copel , UNT , CPLE11 ," R$18,546,036 ",-,-, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,21.40,4.7%,6.60,0.90,0.80,34.27, R$0.87 , R$0.32 ,12.7%,271%," R$20,969,719 "," R$13,336,824 "," R$4,329,330 "," R$9,007,494 ",0.64,2.12, Baixo Endividamento ," R$2,585,210 "," R$2,752,398 "," R$2,872,980 "," R$3,143,226 "," R$4,284,517 "," R$4,258,038 ",10%," R$3,660,639 ",27%,78%,4%,5%,2%,-,30/09/2022," R$86,736 "," 7,996 ", Liquidez Alta 
Energisa , ON , ENGI3 ," R$18,200,670 ",-,-, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,10.00,10.0%,5.70,2.20,0.90,12.80, R$0.23 , R$1.28 ,1.8%,18%," R$11,665,088 "," R$27,621,334 "," R$438,269 "," R$27,183,065 ",2.37,3.04, Dívida Alta ," R$1,564,597 "," R$1,820,223 "," R$2,052,568 "," R$3,817,591 "," R$3,499,912 "," R$7,188,594 ",36%," R$3,416,694 ",136%,362%,27%,8%,4%,0.75,30/09/2022," R$1,703 ", 862 , Liquidez Moderada 
Energisa , PN , ENGI4 ," R$18,200,670 ",-,-, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,5.00,19.9%,5.70,1.10,0.40,6.42, R$0.23 , R$1.28 ,3.6%,18%," R$11,665,088 "," R$27,621,334 "," R$438,269 "," R$27,183,065 ",2.37,3.04, Dívida Alta ," R$1,564,597 "," R$1,820,223 "," R$2,052,568 "," R$3,817,591 "," R$3,499,912 "," R$7,188,594 ",36%," R$3,416,694 ",136%,362%,27%,8%,4%,0.95,30/09/2022, R$910 , 630 , Liquidez Baixa 
Energisa , UNT N2 , ENGI11 ," R$18,200,670 ",0.5%,0.5%, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.10,16.5%,5.70,1.40,0.50,38.64, R$0.23 , R$1.28 ,3.0%,18%," R$11,665,088 "," R$27,621,334 "," R$438,269 "," R$27,183,065 ",2.37,3.04, Dívida Alta ," R$1,564,597 "," R$1,820,223 "," R$2,052,568 "," R$3,817,591 "," R$3,499,912 "," R$7,188,594 ",36%," R$3,416,694 ",136%,362%,27%,8%,4%,0.85,30/09/2022," R$490,037 "," 44,436 ", Liquidez Alta 
Eneva , ON , ENEV3 ," R$17,712,744 ",1.0%,0.9%," Alerta, Baixo Crescimento ", Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,14.30,7.0%,9.70,1.30,2.80,11.20, R$-   , R$0.78 ,0.0%,0%," R$13,871,682 "," R$14,599,798 "," R$7,105,811 "," R$7,493,987 ",1.05,2.36, Baixo Endividamento ," R$277,347 "," R$916,650 "," R$1,124,612 "," R$1,562,969 "," R$1,456,692 "," R$2,401,771 ",54%," R$1,198,704 ",210%,414%,12%,6%,3%,0.71,30/09/2022," R$1,736,216 "," 102,812 ", Liquidez Alta 
Lojas Renner , ON , LREN3 ," R$17,602,784 ",0.9%,0.9%, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Comércio , Tecidos vestuário e calçados ,13.70,7.3%,6.70,1.70,1.30,18.14, R$0.67 , R$1.32 ,3.7%,50%," R$10,087,515 "," R$2,405,375 "," R$2,848,351 ","-R$442,976 ",0.24,-0.45, Empresa com Mais Caixa que Dívida ," R$1,198,033 "," R$1,286,951 "," R$1,416,289 "," R$1,738,395 "," R$2,373,745 "," R$2,448,426 ",15%," R$1,536,237 ",77%,114%,13%,8%,6%,1.31,31/12/2022," R$1,265,326 "," 147,712 ", Liquidez Alta 
Neoenergia , ON , NEOE3 ," R$17,308,737 ",-,-, Crescimento , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,3.70,27.3%,4.70,0.60,0.40,14.26, R$0.92 , R$3.89 ,6.5%,24%," R$26,739,000 "," R$43,503,000 "," R$6,802,000 "," R$36,701,000 ",1.63,3.15, Dívida Alta ," R$2,242,582 "," R$2,700,503 "," R$3,003,822 "," R$4,397,944 "," R$5,572,125 "," R$11,619,000 ",39%," R$4,620,000 ",37%,75%,20%,8%,5%,0.58,31/12/2022," R$103,116 "," 28,218 ", Liquidez Alta 
Petrorio , ON , PRIO3 ," R$17,166,281 ",1.6%,1.5%," Alerta, Baixo Crescimento ", Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,8.60,11.6%,3.50,1.70,4.60,34.63, R$-   , R$4.02 ,0.0%,0%," R$9,892,017 "," R$9,222,756 "," R$9,612,961 ","-R$390,205 ",0.93,-0.08, Empresa com Mais Caixa que Dívida ," R$150,050 "," R$328,655 "," R$131,666 "," R$247,220 "," R$1,387,214 "," R$4,770,469 ",100%," R$4,927,159 ",76%,437%,52%,26%,17%,1.63,31/12/2022," R$4,846,815 "," 302,849 ", Liquidez Alta 
Totvs , ON , TOTS3 ," R$16,894,296 ",0.8%,0.7%, Crescimento , Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,34.00,2.9%,18.50,3.90,4.50,27.89, R$0.31 , R$0.82 ,1.1%,38%," R$4,308,616 "," R$1,759,542 "," R$2,735,765 ","-R$976,223 ",0.41,-1.11, Empresa com Mais Caixa que Dívida ," R$331,968 "," R$343,917 "," R$294,493 "," R$259,439 "," R$472,237 "," R$877,203 ",21%," R$915,560 ",61%,238%,12%,9%,5%,0.95,31/12/2022," R$744,139 "," 106,086 ", Liquidez Alta 
Vibra , ON , VBBR3 ," R$16,667,815 ",0.9%,0.8%, Dividendos , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,8.40,11.9%,7.30,1.30,0.10,14.95, R$0.86 , R$1.77 ,5.7%,48%," R$12,636,000 "," R$16,117,000 "," R$3,113,000 "," R$13,004,000 ",1.28,3.22, Baixo Endividamento ,"-R$1,165,000 "," R$439,000 "," R$2,574,000 "," R$2,803,000 "," R$1,881,000 "," R$4,041,000 ",-228%," R$2,326,000 ",88%,370%,18%,8%,5%,1.07,30/09/2022," R$697,574 "," 87,949 ", Liquidez Alta 
Porto Seguro , ON , PSSA3 ," R$16,652,400 ",-,0.2%, Crescimento e Dividendos , Novo Mercado , Financeiro , Previdência e seguros , Seguradoras ,14.70,6.8%,6.60,1.60,0.60,26.10, R$1.16 , R$1.78 ,4.4%,65%," R$10,583,107 ", R$-   ," R$2,433,908 ","-R$2,433,908 ",0.00,-10.29, Empresa com Mais Caixa que Dívida ," R$538,726 "," R$326,985 "," R$628,341 "," R$1,493,052 "," R$1,225,313 "," R$991,748 ",13%," R$2,850,592 ",54%,537%,12%,5%,2%,0.65,31/12/2022," R$268,900 "," 48,152 ", Liquidez Alta 
Braskem , ON , BRKM3 ," R$16,480,687 ",-,-, Dividendos , Nível 1 , Materiais básicos , Químicos , Petroquímicos ,8.70,11.6%,2.50,1.90,0.20,20.70, R$1.70 , R$2.39 ,8.2%,71%," R$8,689,362 "," R$35,841,429 "," R$11,737,160 "," R$24,104,269 ",4.12,1.49, Dívida Moderada ," R$9,167,120 "," R$8,634,347 "," R$12,287,917 "," R$11,294,520 "," R$3,575,687 "," R$14,504,648 ",10%," R$10,874,199 ",44%,103%,14%,12%,2%,0.79,30/09/2022," R$1,519 ", 447 , Liquidez Moderada 
Braskem , PNA , BRKM5 ," R$16,480,687 ",0.3%,0.3%, Dividendos , Nível 1 , Materiais básicos , Químicos , Petroquímicos ,8.60,11.6%,2.50,1.90,0.20,20.68, R$1.70 , R$2.39 ,8.2%,71%," R$8,689,362 "," R$35,841,429 "," R$11,737,160 "," R$24,104,269 ",4.12,1.49, Dívida Moderada ," R$9,167,120 "," R$8,634,347 "," R$12,287,917 "," R$11,294,520 "," R$3,575,687 "," R$14,504,648 ",10%," R$10,874,199 ",44%,103%,14%,12%,2%,0.66,30/09/2022," R$941,761 "," 73,077 ", Liquidez Alta 
Tran Paulist , ON , TRPL3 ," R$16,026,231 ",-,-, Crescimento , Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,8.30,12.1%,6.60,1.20,3.40,28.37, R$1.06 , R$3.43 ,3.7%,31%," R$16,177,452 "," R$8,041,697 "," R$336,523 "," R$7,705,174 ",0.50,1.93, Baixo Endividamento ," R$622,579 "," R$7,402,236 "," R$2,056,948 "," R$2,468,072 "," R$2,361,135 "," R$3,517,810 ",41%," R$599,693 ",28%,610%,16%,8%,7%,0.33,31/12/2022, R$346 , 75 , Liquidez Baixa 
Tran Paulist , PN , TRPL4 ," R$16,026,231 ",-,0.4%, Crescimento , Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,6.30,15.8%,6.60,0.90,2.60,21.72, R$1.06 , R$3.43 ,4.9%,31%," R$16,177,452 "," R$8,041,697 "," R$336,523 "," R$7,705,174 ",0.50,1.93, Baixo Endividamento ," R$622,579 "," R$7,402,236 "," R$2,056,948 "," R$2,468,072 "," R$2,361,135 "," R$3,517,810 ",41%," R$599,693 ",28%,610%,16%,8%,7%,0.59,31/12/2022," R$246,993 "," 38,856 ", Liquidez Alta 
Comgas , PNA , CGAS5 ," R$15,642,510 ",-,-, Crescimento e Dividendos , Tradicional , Utilidade pública , Gás , Gás ,9.40,10.6%,6.60,16.60,1.00,129.05, R$15.40 , R$13.67 ,11.9%,113%," R$1,032,753 "," R$6,980,640 "," R$1,241,256 "," R$5,739,384 ",6.76,1.78, Dívida Moderada ," R$1,530,474 "," R$1,965,283 "," R$1,518,481 "," R$2,186,264 "," R$2,512,613 "," R$3,222,267 ",16%," R$3,439,487 ",35%,238%,164%,20%,14%,0.26,31/12/2022, R$478 , 28 , Liquidez Baixa 
Ultrapar , ON , UGPA3 ," R$14,664,708 ",0.8%,0.7%, Crescimento , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,8.10,12.3%,5.50,1.30,0.10,13.39, R$0.51 , R$1.65 ,3.8%,31%," R$11,708,741 "," R$13,274,130 "," R$5,621,769 "," R$7,652,361 ",1.13,1.75, Baixo Endividamento ," R$3,953,293 "," R$4,216,724 "," R$4,063,544 "," R$2,697,064 "," R$2,788,362 "," R$4,081,174 ",1%," R$2,004,694 ",-80%,-219%,18%,11%,5%,1.09,31/12/2022," R$530,932 "," 73,851 ", Liquidez Alta 
Auren , ON , AURE3 ," R$14,650,000 ",-,0.2%, Crescimento e Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,4.80,20.7%,8.60,1.00,2.30,14.65, - , R$3.03 ,N/D,-," R$15,253,078 "," R$5,874,521 "," R$3,125,959 "," R$2,748,562 ",0.39,1.32, Baixo Endividamento , - , - , - , - , - ," R$2,006,623 ",-," R$416,769 ",390%,264%,30%,4%,8%,-,31/12/2022," R$357,171 "," 56,896 ", Liquidez Alta 
Vamos , ON , VAMO3 ," R$14,111,796 ",-,0.2%, Crescimento , Novo Mercado , Consumo cíclico , Diversos , Aluguel de carros ,20.40,4.9%,10.30,3.90,2.80,13.87, R$0.26 , R$0.68 ,1.9%,39%," R$3,638,888 "," R$7,483,188 "," R$84,498 "," R$7,398,690 ",2.06,2.98, Dívida Moderada , - , R$133 , R$270 ," R$426,119 "," R$527,624 "," R$1,933,140 ",-,"-R$2,318,972 ",-6%,44%,25%,10%,4%,-,31/12/2022," R$234,614 "," 59,998 ", Liquidez Alta 
Multiplan , ON , MULT3 ," R$14,105,296 ",0.3%,0.3%, Crescimento e Dividendos , Nível 2 , Financeiro , Exploração de imóveis , Exploração de imóveis ,18.40,5.4%,12.60,2.10,7.90,24.10, R$0.72 , R$1.31 ,3.0%,55%," R$6,582,340 "," R$2,963,612 "," R$23,589 "," R$2,940,023 ",0.45,1.52, Baixo Endividamento ," R$781,400 "," R$810,798 "," R$818,053 "," R$939,182 "," R$925,006 "," R$1,275,254 ",10%," R$1,203,854 ",22%,130%,12%,8%,7%,0.84,31/12/2022," R$996,397 "," 135,733 ", Liquidez Alta 
Cielo , ON , CIEL3 ," R$13,417,936 ",0.3%,0.3%, Dividendos , Novo Mercado , Financeiro , Serviços financeiros diversos , Serviços financeiros diversos ,9.50,10.5%,5.70,1.20,1.30,4.98, R$0.25 , R$0.52 ,5.1%,48%," R$10,950,834 "," R$6,643,071 "," R$1,882,866 "," R$4,760,205 ",0.61,1.30, Baixo Endividamento ," R$5,233,511 "," R$5,535,148 "," R$5,277,864 "," R$4,634,796 "," R$3,026,119 "," R$3,666,664 ",-7%,"-R$2,131,202 ",-3%,6%,13%,6%,2%,1.03,31/12/2022," R$518,497 "," 104,544 ", Liquidez Alta 
Embraer , ON , EMBR3 ," R$13,223,394 ",0.7%,0.7%," Alerta, Prejuízo ", Novo Mercado , Bens industriais , Material de transporte , Material aeronáutico e de defesa ,-12.50,-8.0%,461.30,1.00,0.70,18.00, R$-   ,-R$1.45 ,0.0%,0%," R$13,311,722 "," R$16,936,503 "," R$7,056,152 "," R$9,880,351 ",1.27,161.01, Baixo Endividamento ," R$2,176,385 "," R$1,851,041 "," R$2,057,542 "," R$1,097,914 "," R$187,353 "," R$48,519 ",-53%," R$4,688,027 ",30%,139%,-8%,-2%,-2%,0.43,30/09/2022," R$902,745 "," 88,851 ", Liquidez Alta 
Gerdau Met , ON , GOAU3 ," R$12,743,057 ",-,-, Crescimento , Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,3.40,29.8%,2.40,0.70,0.20,11.79, R$1.25 , R$3.51 ,10.6%,36%," R$16,456,648 "," R$12,607,390 "," R$2,475,896 "," R$10,131,494 ",0.77,0.30, Baixo Endividamento ,"-R$728,485 "," R$891,194 "," R$3,184,282 "," R$5,914,531 "," R$5,249,007 "," R$20,555,855 ",-295%," R$10,980,478 ",41%,156%,26%,20%,15%,0.87,31/12/2022," R$22,551 "," 5,375 ", Liquidez Alta 
Gerdau Met , PN , GOAU4 ," R$12,743,057 ",0.5%,0.4%," Alerta, Baixo Crescimento ", Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,3.60,27.8%,2.40,0.80,0.20,12.64, R$1.25 , R$3.51 ,9.9%,36%," R$16,456,648 "," R$12,607,390 "," R$2,475,896 "," R$10,131,494 ",0.77,0.30, Baixo Endividamento ,"-R$728,485 "," R$891,194 "," R$3,184,282 "," R$5,914,531 "," R$5,249,007 "," R$20,555,855 ",-295%," R$10,980,478 ",41%,156%,26%,20%,15%,0.91,31/12/2022," R$559,633 "," 70,833 ", Liquidez Alta 
Energias BR , ON , ENBR3 ," R$12,462,858 ",0.3%,0.3%, Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,12.30,8.1%,5.60,1.20,0.70,22.02, R$2.56 , R$1.79 ,11.6%,143%," R$10,725,911 "," R$14,040,436 "," R$4,197,196 "," R$9,843,240 ",1.31,2.34, Baixo Endividamento ," R$2,888,626 "," R$2,182,361 "," R$2,170,303 "," R$2,773,174 "," R$2,982,817 "," R$4,202,521 ",8%," R$4,782,909 ",32%,193%,10%,8%,3%,0.49,31/12/2022," R$1,587,082 "," 130,160 ", Liquidez Alta 
Taesa , ON , TAEE3 ," R$12,404,913 ",-,-, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.70,14.9%,6.60,1.80,4.40,11.99, R$2.06 , R$1.79 ,17.2%,115%," R$6,950,930 "," R$8,473,411 "," R$1,564,460 "," R$6,908,951 ",1.22,2.36, Baixo Endividamento ," R$1,539,294 "," R$1,374,547 "," R$930,186 "," R$1,436,255 "," R$1,418,195 "," R$2,933,037 ",14%," R$1,899,196 ",3%,228%,27%,12%,10%,0.65,30/09/2022," R$11,529 "," 5,233 ", Liquidez Alta 
Taesa , PN , TAEE4 ," R$12,404,913 ",-,-, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.70,14.9%,6.60,1.80,4.40,12.02, R$2.06 , R$1.79 ,17.2%,115%," R$6,950,930 "," R$8,473,411 "," R$1,564,460 "," R$6,908,951 ",1.22,2.36, Baixo Endividamento ," R$1,539,294 "," R$1,374,547 "," R$930,186 "," R$1,436,255 "," R$1,418,195 "," R$2,933,037 ",14%," R$1,899,196 ",3%,228%,27%,12%,10%,0.68,30/09/2022," R$23,453 "," 6,617 ", Liquidez Alta 
Taesa , UNT N2 , TAEE11 ," R$12,404,913 ",0.4%,0.4%, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.70,15.0%,6.60,1.80,4.40,35.88, R$2.06 , R$1.79 ,17.3%,115%," R$6,950,930 "," R$8,473,411 "," R$1,564,460 "," R$6,908,951 ",1.22,2.36, Baixo Endividamento ," R$1,539,294 "," R$1,374,547 "," R$930,186 "," R$1,436,255 "," R$1,418,195 "," R$2,933,037 ",14%," R$1,899,196 ",3%,228%,27%,12%,10%,0.68,30/09/2022," R$307,576 "," 43,394 ", Liquidez Alta 
Grupo Mateus , ON , GMAT3 ," R$11,444,413 ",-,0.1%, Crescimento , Novo Mercado , Consumo não cíclico , Comércio e distribuição , Alimentos ,12.00,8.3%,9.00,1.60,0.60,5.18, R$-   , R$0.43 ,0.0%,0%," R$7,148,327 "," R$3,158,714 "," R$694,792 "," R$2,463,922 ",0.44,1.58, Baixo Endividamento , - , - , - , - , - ," R$1,558,234 ",-,"-R$120,054 ",-1025%,347%,15%,8%,8%,-,30/09/2022," R$206,923 "," 62,554 ", Liquidez Alta 
Bradespar , ON , BRAP3 ," R$10,828,894 ",-,-," Alerta, Baixo Crescimento ", Nível 1 , Materiais básicos , Mineração , Minerais metálicos ,1.70,58.7%,1.70,1.30,-,25.75, R$2.97 , R$15.11 ,11.6%,20%," R$7,833,582 ", R$-   ," R$842,741 ","-R$842,741 ",0.00,-0.14, Empresa com Mais Caixa que Dívida ,"-R$2,476,513 "," R$781,880 "," R$2,609,791 "," R$1,234,255 ","-R$415,618 "," R$5,898,677 ",-219%," R$1,177,667 ",0%,N/D,41%,56%,75%,0.88,30/09/2022," R$6,006 "," 1,373 ", Liquidez Moderada 
Bradespar , PN , BRAP4 ," R$10,828,894 ",0.4%,0.4%," Alerta, Baixo Crescimento ", Nível 1 , Materiais básicos , Mineração , Minerais metálicos ,1.90,53.0%,1.70,1.40,-,28.52, R$3.27 , R$15.11 ,11.5%,22%," R$7,833,582 ", R$-   ," R$842,741 ","-R$842,741 ",0.00,-0.14, Empresa com Mais Caixa que Dívida ,"-R$2,476,513 "," R$781,880 "," R$2,609,791 "," R$1,234,255 ","-R$415,618 "," R$5,898,677 ",-219%," R$1,177,667 ",0%,N/D,41%,56%,75%,0.95,30/09/2022," R$377,338 "," 37,932 ", Liquidez Alta 
M.Diasbranco , ON , MDIA3 ," R$10,552,717 ",-,0.1%, Crescimento , Novo Mercado , Consumo não cíclico , Alimentos processados , Alimentos diversos ,17.10,5.8%,12.70,1.60,1.10,31.39, R$0.20 , R$1.83 ,0.6%,11%," R$6,592,032 "," R$2,070,978 "," R$420,709 "," R$1,650,269 ",0.31,1.70, Baixo Endividamento ," R$686,636 "," R$919,418 "," R$966,325 "," R$933,120 "," R$772,054 "," R$961,743 ",7%,"-R$30,407 ",-1852%,182%,9%,5%,6%,0.65,30/09/2022," R$489,544 "," 41,496 ", Liquidez Alta 
SLC Agricola , ON , SLCE3 ," R$10,177,921 ",0.3%,0.2%, Crescimento , Novo Mercado , Consumo não cíclico , Agropecuária , Agricultura ,7.70,13.0%,4.90,2.10,1.10,49.31, R$2.77 , R$6.42 ,5.6%,43%," R$4,788,889 "," R$4,336,191 "," R$1,324,819 "," R$3,011,372 ",0.91,1.10, Baixo Endividamento ," R$392,301 "," R$214,557 "," R$684,959 "," R$768,988 "," R$664,522 "," R$2,746,444 ",48%," R$1,385,557 ",42%,338%,36%,15%,9%,0.44,30/09/2022," R$261,886 "," 30,424 ", Liquidez Alta 
Alianscsonae , ON , ALSO3 ," R$10,000,217 ",0.3%,0.3%, Crescimento , Novo Mercado , Financeiro , Exploração de imóveis , Exploração de imóveis ,15.50,6.4%,10.50,0.60,4.10,16.88, R$0.38 , R$1.09 ,2.3%,35%," R$6,924,053 ", R$-   ," R$18,952 ","-R$18,952 ",0.00,-3.28, Empresa com Mais Caixa que Dívida ," R$337,864 "," R$389,090 "," R$384,679 "," R$562,234 "," R$372,972 "," R$803,013 ",19%," R$808,147 ",-1%,-4%,5%,5%,3%,1.14,30/09/2022," R$409,708 "," 76,069 ", Liquidez Alta 
