, Dados Cadastrais ,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
58.00, Braskem , PNA , BRKM5 ," R$27,276,990 ",0.4%,0.4%, Crescimento e Dividendos , Nível 1 , Materiais básicos , Químicos , Petroquímicos ,4.20,23.6%,2.30,2.90,0.30,34.86, R$9.24 , R$8.22 ,26.5%,112%," R$9,469,268 "," R$34,238,355 "," R$9,527,745 "," R$24,710,610 ",3.62,1.04, Dívida Moderada ," R$9,167,120 "," R$8,634,347 "," R$12,287,917 "," R$11,294,520 "," R$3,575,687 "," R$20,115,352 ",17%," R$13,675,587 ",30%,91%,90%,19%,7%,0.92,30/06/2022," R$1,416,641 "," 153,254 ", Liquidez Alta 
59.00, Petrorio , ON , PRIO3 ," R$27,201,927 ",1.2%,1.2%, Crescimento , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,10.20,9.8%,6.40,3.30,4.50,32.23, R$-   , R$3.16 ,0.0%,0%," R$8,171,627 "," R$6,646,011 "," R$3,193,381 "," R$3,452,630 ",0.81,0.02, Baixo Endividamento ," R$150,050 "," R$328,655 "," R$131,666 "," R$247,220 "," R$1,387,214 "," R$4,262,070 ",95%," R$3,050,129 ",110%,371%,50%,25%,17%,2.07,30/06/2022," R$1,329,232 "," 110,935 ", Liquidez Alta 
60.00, Caixa Seguri , ON , CXSE3 ," R$26,670,000 ",-,-, Crescimento e Dividendos , Novo Mercado , Financeiro , Previdência e seguros , Seguradoras ,11.70,8.5%,10.00,2.40,-,8.89, R$0.54 , R$0.76 ,6.1%,71%," R$10,914,051 ", R$-   , R$655 ,-R$655 ,0.00,-0.24, Empresa com Mais Caixa que Dívida , - ," R$1,209,440 ", - , - , - ," R$2,612,227 ",-," R$1,824,195 ",0%,0%,22%,17%,21%,-,30/06/2022," R$73,341 "," 18,004 ", Liquidez Alta 
61.00, CCR SA , ON , CCRO3 ," R$25,007,575 ",0.6%,0.6%, Crescimento , Novo Mercado , Bens industriais , Transporte , Exploração de rodovias ,6.60,15.2%,4.00,2.10,1.40,12.38, R$0.16 , R$1.88 ,1.3%,9%," R$11,692,256 "," R$27,546,064 "," R$3,861,432 "," R$23,684,632 ",2.36,1.83, Dívida Moderada ," R$3,551,992 "," R$5,261,860 "," R$5,052,348 "," R$3,817,776 "," R$5,489,434 "," R$11,497,540 ",26%," R$5,141,522 ",169%,397%,44%,16%,8%,0.96,30/06/2022," R$442,741 "," 69,948 ", Liquidez Alta 
62.00, Assai , ON , ASAI3 ," R$24,142,057 ",0.7%,0.7%, Crescimento , Novo Mercado , Consumo não cíclico , Comércio e distribuição , Alimentos ,13.60,7.4%,9.30,10.00,0.90,17.92, R$0.13 , R$1.19 ,0.7%,11%," R$3,311,000 "," R$11,366,000 "," R$3,108,000 "," R$8,258,000 ",3.43,2.33, Dívida Moderada , - , - ," R$1,113,000 "," R$2,014,000 "," R$2,212,000 "," R$3,551,000 ",-," R$4,002,000 ",132%,646%,83%,9%,5%,-,30/06/2022," R$1,637,877 "," 155,342 ", Liquidez Alta 
63.00, Klabin S/A , ON , KLBN3 ," R$22,689,032 ",-,-, Crescimento , Nível 2 , Materiais básicos , Madeira e papel , Papel e celulose ,6.00,16.7%,4.70,2.90,1.20,4.18, R$0.28 , R$0.70 ,6.6%,40%," R$7,973,273 "," R$27,920,874 "," R$4,875,896 "," R$23,044,978 ",3.50,2.14, Dívida Moderada ," R$2,490,549 "," R$2,821,258 "," R$3,492,539 "," R$4,656,952 "," R$4,719,788 "," R$9,590,567 ",31%," R$6,037,518 ",75%,153%,65%,13%,9%,0.54,30/06/2022," R$9,171 "," 3,419 ", Liquidez Moderada 
64.00, Klabin S/A , PN , KLBN4 ," R$22,689,032 ",-,-, Crescimento , Nível 2 , Materiais básicos , Madeira e papel , Papel e celulose ,5.90,17.1%,4.70,2.80,1.20,4.09, R$0.28 , R$0.70 ,6.8%,40%," R$7,973,273 "," R$27,920,874 "," R$4,875,896 "," R$23,044,978 ",3.50,2.14, Dívida Moderada ," R$2,490,549 "," R$2,821,258 "," R$3,492,539 "," R$4,656,952 "," R$4,719,788 "," R$9,590,567 ",31%," R$6,037,518 ",75%,153%,65%,13%,9%,0.50,30/06/2022," R$28,455 "," 8,983 ", Liquidez Alta 
65.00, Klabin S/A , UNT N2 , KLBN11 ," R$22,689,032 ",0.7%,0.6%, Crescimento , Nível 2 , Materiais básicos , Madeira e papel , Papel e celulose ,5.90,17.0%,4.70,2.80,1.20,20.55, R$0.28 , R$0.70 ,6.8%,40%," R$7,973,273 "," R$27,920,874 "," R$4,875,896 "," R$23,044,978 ",3.50,2.14, Dívida Moderada ," R$2,490,549 "," R$2,821,258 "," R$3,492,539 "," R$4,656,952 "," R$4,719,788 "," R$9,590,567 ",31%," R$6,037,518 ",75%,153%,65%,13%,9%,0.52,30/06/2022," R$573,351 "," 75,791 ", Liquidez Alta 
66.00, Eneva , ON , ENEV3 ," R$21,821,305 ",1.0%,1.0%, Crescimento , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,14.90,6.7%,11.50,1.60,3.30,13.80, R$-   , R$0.93 ,0.0%,0%," R$13,627,894 "," R$10,160,172 "," R$3,304,137 "," R$6,856,035 ",0.75,2.19, Baixo Endividamento ," R$277,347 "," R$916,650 "," R$1,124,612 "," R$1,562,969 "," R$1,456,692 "," R$2,351,692 ",53%," R$1,220,459 ",184%,377%,15%,6%,5%,0.65,30/06/2022," R$498,575 "," 95,830 ", Liquidez Alta 
67.00, Energisa , ON , ENGI3 ," R$21,240,969 ",-,-, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,9.40,10.6%,6.30,2.60,0.90,14.23, R$0.67 , R$1.51 ,4.7%,44%," R$9,788,823 "," R$27,223,664 "," R$825,039 "," R$26,398,625 ",2.78,3.05, Dívida Alta ," R$1,564,597 "," R$1,820,223 "," R$2,052,568 "," R$3,817,591 "," R$3,499,912 "," R$6,967,675 ",35%," R$2,149,862 ",192%,325%,33%,8%,5%,0.48,30/06/2022, R$423 , 254 , Liquidez Baixa 
68.00, Energisa , PN , ENGI4 ," R$21,240,969 ",-,-, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,5.30,19.0%,6.30,1.50,0.50,7.98, R$0.67 , R$1.51 ,8.4%,44%," R$9,788,823 "," R$27,223,664 "," R$825,039 "," R$26,398,625 ",2.78,3.05, Dívida Alta ," R$1,564,597 "," R$1,820,223 "," R$2,052,568 "," R$3,817,591 "," R$3,499,912 "," R$6,967,675 ",35%," R$2,149,862 ",192%,325%,33%,8%,5%,1.06,30/06/2022, R$727 , 348 , Liquidez Baixa 
69.00, Energisa , UNT N2 , ENGI11 ," R$21,240,969 ",0.5%,0.5%, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.10,16.3%,6.30,1.70,0.60,46.28, R$0.67 , R$1.51 ,7.3%,44%," R$9,788,823 "," R$27,223,664 "," R$825,039 "," R$26,398,625 ",2.78,3.05, Dívida Alta ," R$1,564,597 "," R$1,820,223 "," R$2,052,568 "," R$3,817,591 "," R$3,499,912 "," R$6,967,675 ",35%," R$2,149,862 ",192%,325%,33%,8%,5%,0.90,30/06/2022," R$438,349 "," 49,195 ", Liquidez Alta 
70.00, Vibra , ON , VBBR3 ," R$20,302,402 ",0.9%,0.9%, Crescimento , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,7.80,12.8%,7.80,1.60,0.10,18.21, R$0.60 , R$2.33 ,3.3%,26%," R$13,067,000 "," R$15,775,000 "," R$2,759,000 "," R$13,016,000 ",1.21,3.04, Baixo Endividamento ,"-R$1,165,000 "," R$439,000 "," R$2,574,000 "," R$2,803,000 "," R$1,881,000 "," R$4,278,000 ",-230%," R$1,626,000 ",106%,311%,23%,9%,7%,1.24,30/06/2022," R$622,080 "," 101,238 ", Liquidez Alta 
71.00, Grupo Natura , ON , NTCO3 ," R$19,553,085 ",0.5%,0.5%," Alerta, Prejuízo ", Novo Mercado , Consumo não cíclico , Produtos de uso pessoal e de limpeza , Produtos de uso pessoal ,-44.40,-2.3%,8.20,0.80,0.50,14.24, R$0.13 ,-R$0.32 ,0.9%,-41%," R$24,231,110 "," R$13,039,537 "," R$3,043,826 "," R$9,995,711 ",0.54,2.54, Baixo Endividamento ," R$1,495,966 "," R$1,343,639 "," R$1,741,993 "," R$1,846,604 "," R$2,468,664 "," R$3,457,112 ",18%,"-R$24,240 ",-5189%,47%,-2%,1%,-1%,1.41,30/06/2022," R$1,665,461 "," 183,163 ", Liquidez Alta 
72.00, Neoenergia , ON , NEOE3 ," R$19,493,577 ",-,-, Crescimento , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,4.60,21.6%,4.80,0.80,0.40,16.06, R$0.80 , R$3.46 ,5.0%,23%," R$25,470,000 "," R$42,056,000 "," R$6,693,000 "," R$35,363,000 ",1.65,3.07, Dívida Alta ," R$2,242,582 "," R$2,700,503 "," R$3,003,822 "," R$4,397,944 "," R$5,572,125 "," R$11,463,000 ",39%," R$2,114,000 ",165%,184%,19%,9%,5%,0.75,30/06/2022," R$153,312 "," 35,567 ", Liquidez Alta 
73.00, Totvs , ON , TOTS3 ," R$19,171,453 ",0.8%,0.7%, Crescimento , Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,46.10,2.2%,22.60,4.40,5.30,31.65, R$0.23 , R$0.69 ,0.7%,34%," R$4,331,693 "," R$1,751,723 "," R$2,567,054 ","-R$815,331 ",0.40,-0.99, Empresa com Mais Caixa que Dívida ," R$331,968 "," R$343,917 "," R$294,493 "," R$259,439 "," R$472,237 "," R$824,301 ",20%," R$781,966 ",59%,177%,16%,8%,4%,0.99,30/06/2022," R$558,021 "," 90,063 ", Liquidez Alta 
74.00, Csn Mineracao , ON , CMIN3 ," R$18,430,738 ",0.2%,0.2%, Crescimento e Dividendos , Nível 2 , Materiais básicos , Mineração , Minerais metálicos ,6.00,16.5%,3.40,1.40,1.50,3.36, R$0.55 , R$0.56 ,16.2%,98%," R$12,745,458 "," R$6,663,495 "," R$7,369,032 ","-R$705,537 ",0.52,-0.18, Empresa com Mais Caixa que Dívida , - , - ," R$1,935,036 "," R$2,500,459 "," R$5,801,738 "," R$5,219,276 ",-," R$2,574,331 ",56%,159%,20%,21%,13%,-,30/06/2022," R$147,650 "," 36,727 ", Liquidez Alta 
75.00, Nu Holdings Ltd , ON , NUBR33 ," R$17,723,360 ",-,-," Alerta, Prejuízo ", BDR nível 3 , - , - , - ,-18.40,-5.4%,-,0.70,-,3.79, - ,-R$0.21 ,N/D,-," R$24,901,808 ", - ," R$19,455,522 ", - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$11,584,026 ",-,N/D,-10%,,-1%,-,30/06/2022," R$86,336 "," 31,178 ", Liquidez Alta 
76.00, Copel , ON , CPLE3 ," R$17,628,054 ",-,-, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,5.10,19.4%,4.60,0.80,0.70,6.29, R$0.57 , R$1.22 ,9.0%,47%," R$20,596,167 "," R$12,905,041 "," R$3,618,179 "," R$9,286,862 ",0.63,1.56, Baixo Endividamento ," R$2,585,210 "," R$2,752,398 "," R$2,872,980 "," R$3,143,226 "," R$4,284,517 "," R$5,911,576 ",18%," R$4,579,828 ",30%,114%,17%,8%,7%,0.75,30/06/2022," R$18,529 "," 7,366 ", Liquidez Alta 
77.00, Copel , PNB , CPLE6 ," R$17,628,054 ",0.5%,0.5%, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,5.30,18.8%,4.60,0.90,0.70,6.49, R$0.63 , R$1.22 ,9.6%,51%," R$20,596,167 "," R$12,905,041 "," R$3,618,179 "," R$9,286,862 ",0.63,1.56, Baixo Endividamento ," R$2,585,210 "," R$2,752,398 "," R$2,872,980 "," R$3,143,226 "," R$4,284,517 "," R$5,911,576 ",18%," R$4,579,828 ",30%,114%,17%,8%,7%,0.78,30/06/2022," R$366,368 "," 72,190 ", Liquidez Alta 
78.00, Copel , UNT , CPLE11 ," R$17,628,054 ",-,-, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,5.30,18.9%,4.60,0.90,0.70,32.30, R$0.61 , R$1.22 ,9.5%,50%," R$20,596,167 "," R$12,905,041 "," R$3,618,179 "," R$9,286,862 ",0.63,1.56, Baixo Endividamento ," R$2,585,210 "," R$2,752,398 "," R$2,872,980 "," R$3,143,226 "," R$4,284,517 "," R$5,911,576 ",18%," R$4,579,828 ",30%,114%,17%,8%,7%,-,30/06/2022," R$48,358 "," 10,171 ", Liquidez Alta 
79.00, Sid Nacional , ON , CSNA3 ," R$17,451,396 ",0.4%,0.3%, Crescimento , Tradicional , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,5.20,19.4%,2.70,0.80,0.40,13.16, R$0.87 , R$2.55 ,6.6%,34%," R$21,265,483 "," R$34,751,498 "," R$14,923,694 "," R$19,827,804 ",1.63,1.29, Dívida Moderada ," R$6,354,465 "," R$3,267,973 "," R$4,437,300 "," R$8,219,581 "," R$5,061,248 "," R$14,106,917 ",17%," R$5,561,712 ",90%,198%,16%,17%,5%,1.43,30/06/2022," R$517,400 "," 53,305 ", Liquidez Alta 
80.00, Tran Paulist , PN , TRPL4 ," R$17,297,700 ",-,-, Crescimento , Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,5.40,18.4%,5.50,1.00,2.60,23.27, R$1.48 , R$4.29 ,6.4%,35%," R$15,601,452 "," R$7,991,870 "," R$221,490 "," R$7,770,380 ",0.51,1.56, Baixo Endividamento ," R$622,579 "," R$7,402,236 "," R$2,056,948 "," R$2,468,072 "," R$2,361,135 "," R$4,443,136 ",48%," R$364,013 ",40%,556%,20%,10%,9%,0.49,30/06/2022," R$180,191 "," 24,935 ", Liquidez Alta 
81.00, Comgas , PNA , CGAS5 ," R$16,795,661 ",-,-, Crescimento e Dividendos , Tradicional , Utilidade pública , Gás , Gás ,9.20,10.9%,7.30,14.20,1.20,133.01, R$18.12 , R$14.45 ,13.6%,125%," R$1,243,874 "," R$6,806,296 "," R$979,010 "," R$5,827,286 ",5.47,1.87, Dívida Moderada ," R$1,530,474 "," R$1,965,283 "," R$1,518,481 "," R$2,186,264 "," R$2,512,613 "," R$3,113,647 ",15%," R$2,390,398 ",47%,238%,128%,19%,15%,0.38,30/06/2022, R$301 , 16 , Liquidez Baixa 
82.00, Cielo , ON , CIEL3 ," R$16,182,793 ",0.3%,0.3%, Crescimento e Dividendos , Novo Mercado , Financeiro , Serviços financeiros diversos , Serviços financeiros diversos ,-,-,-,1.50,-,6.01, R$0.22 , - ,3.7%,-," R$10,571,776 "," R$6,947,661 "," R$1,756,224 "," R$5,191,437 ",0.66,-, Baixo Endividamento ," R$5,233,511 "," R$5,535,148 "," R$5,277,864 "," R$4,634,796 "," R$3,026,119 ", - ,-, - ,-,N/D,,,,1.12,30/06/2022," R$738,637 "," 90,995 ", Liquidez Alta 
83.00, Americanas , ON , AMER3 ," R$15,874,017 ",0.5%,0.5%, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Comércio , Produtos diversos ,31.40,3.2%,7.60,1.00,0.50,17.61, R$0.62 , R$0.56 ,3.5%,111%," R$15,106,033 "," R$15,522,660 "," R$2,482,054 "," R$13,040,606 ",1.03,2.73, Baixo Endividamento ," R$652,069 "," R$652,922 "," R$583,279 "," R$412,315 "," R$626,359 "," R$3,286,070 ",38%," R$130,285 ",3476%,237%,3%,3%,1%,1.17,30/06/2022," R$2,129,186 "," 152,433 ", Liquidez Alta 
84.00, BRF SA , ON , BRFS3 ," R$15,856,314 ",0.7%,0.7%," Alerta, Prejuízo ", Novo Mercado , Consumo não cíclico , Alimentos processados , Carnes e derivados ,-9.00,-11.1%,7.40,1.30,0.30,14.71, R$-   ,-R$1.63 ,0.0%,0%," R$12,186,918 "," R$23,026,325 "," R$7,887,641 "," R$15,138,684 ",1.89,3.50, Dívida Alta ," R$5,545,090 "," R$3,418,015 "," R$2,654,094 "," R$1,540,867 "," R$5,254,051 "," R$4,221,302 ",-5%," R$1,983,761 ",11%,8%,-17%,3%,-3%,1.48,30/06/2022," R$414,678 "," 65,003 ", Liquidez Alta 
85.00, Eqtl Para , ON , EQPA3 ," R$15,398,206 ",-,-, Crescimento e Dividendos , Tradicional , Utilidade pública , Energia elétrica , Energia elétrica ,11.10,9.0%,7.20,3.90,1.70,6.97, R$0.29 , R$0.63 ,4.2%,46%," R$3,980,039 "," R$4,841,157 "," R$1,053,115 "," R$3,788,042 ",1.22,1.01, Baixo Endividamento ," R$465,071 "," R$737,344 "," R$940,726 "," R$1,047,947 "," R$1,048,498 "," R$2,501,381 ",40%," R$995,561 ",129%,338%,39%,16%,11%,0.97,30/06/2022, R$460 , 37 , Liquidez Baixa 
86.00, Vamos , ON , VAMO3 ," R$15,260,970 ",-,0.2%, Crescimento , Novo Mercado , Consumo cíclico , Diversos , Aluguel de carros ,29.00,3.4%,14.00,5.00,3.80,15.00, R$0.20 , R$0.52 ,1.3%,38%," R$2,880,035 "," R$7,201,579 "," R$96,152 "," R$7,105,427 ",2.50,3.16, Dívida Alta , - , R$133 , R$270 ," R$426,119 "," R$527,624 "," R$1,403,035 ",-,"-R$5,535,129 ",-2%,41%,32%,9%,4%,-,30/06/2022," R$137,448 "," 35,682 ", Liquidez Alta 
87.00, Multiplan , ON , MULT3 ," R$14,616,895 ",0.3%,0.3%, Dividendos , Nível 2 , Financeiro , Exploração de imóveis , Exploração de imóveis ,22.40,4.5%,15.40,2.30,9.20,24.92, R$0.92 , R$1.11 ,3.7%,83%," R$6,479,048 "," R$2,994,646 "," R$159,794 "," R$2,834,852 ",0.46,1.89, Baixo Endividamento ," R$781,400 "," R$810,798 "," R$818,053 "," R$939,182 "," R$925,006 "," R$1,077,954 ",7%," R$1,121,212 ",41%,221%,10%,6%,6%,1.10,30/06/2022," R$314,763 "," 54,016 ", Liquidez Alta 
88.00, Auren , ON , AURE3 ," R$14,390,000 ",-,0.2%, Crescimento e Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,-,-,-,1.10,-,14.39, - , - ,N/D,-," R$12,732,202 "," R$5,591,229 "," R$3,211,067 "," R$2,380,162 ",0.44,-, Baixo Endividamento , - , - , - , - , - , - ,-, - ,-,N/D,,,,-,30/06/2022," R$238,324 "," 49,382 ", Liquidez Alta 
89.00, Porto Seguro , ON , PSSA3 ," R$14,338,890 ",-,0.2%, Dividendos , Novo Mercado , Financeiro , Previdência e seguros , Seguradoras ,16.00,6.3%,6.70,1.50,0.60,22.48, R$1.35 , R$1.41 ,6.0%,96%," R$9,409,948 ", R$-   ," R$2,258,370 ","-R$2,258,370 ",0.00,-12.81, Empresa com Mais Caixa que Dívida ," R$538,726 "," R$326,985 "," R$628,341 "," R$1,493,052 "," R$1,225,313 "," R$734,328 ",6%," R$4,327,119 ",21%,357%,10%,3%,2%,0.77,30/06/2022," R$144,237 "," 28,106 ", Liquidez Alta 
90.00, Ultrapar , ON , UGPA3 ," R$14,324,806 ",0.6%,0.6%, Crescimento , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,8.70,11.6%,6.80,1.30,0.10,13.13, R$0.58 , R$1.52 ,4.4%,38%," R$10,841,210 "," R$14,528,709 "," R$4,707,303 "," R$9,821,406 ",1.34,2.47, Baixo Endividamento ," R$3,953,293 "," R$4,216,724 "," R$4,063,544 "," R$2,697,064 "," R$2,788,362 "," R$3,421,150 ",-3%," R$501,309 ",-1055%,-605%,17%,8%,5%,1.23,30/06/2022," R$474,502 "," 76,901 ", Liquidez Alta 
91.00, M.Diasbranco , ON , MDIA3 ," R$14,146,570 ",-,0.1%, Dividendos , Novo Mercado , Consumo não cíclico , Alimentos processados , Alimentos diversos ,22.90,4.4%,16.60,2.20,1.60,42.08, R$1.95 , R$1.84 ,4.6%,106%," R$6,544,004 "," R$1,730,157 "," R$656,091 "," R$1,074,066 ",0.26,1.16, Baixo Endividamento ," R$686,636 "," R$919,418 "," R$966,325 "," R$933,120 "," R$772,054 "," R$915,357 ",6%," R$535,174 ",54%,98%,9%,5%,6%,0.78,30/06/2022," R$124,903 "," 19,312 ", Liquidez Alta 
92.00, Grupo Mateus , ON , GMAT3 ," R$14,007,254 ",-,-, Crescimento , Novo Mercado , Consumo não cíclico , Comércio e distribuição , Alimentos ,16.00,6.2%,-,2.00,0.80,6.34, R$-   , R$0.40 ,0.0%,0%," R$6,861,075 "," R$2,317,285 "," R$889,893 "," R$1,427,392 ",0.34,-, Baixo Endividamento , - , - , - , - , - , - ,-," R$297,802 ",-,N/D,15%,8%,8%,-,30/06/2022," R$200,097 "," 55,207 ", Liquidez Alta 
93.00, Taesa , ON , TAEE3 ," R$13,493,043 ",-,-, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.50,15.4%,6.00,1.90,4.10,13.06, R$1.77 , R$2.02 ,13.6%,88%," R$7,154,162 "," R$8,636,712 "," R$1,843,025 "," R$6,793,687 ",1.21,2.00, Baixo Endividamento ," R$1,539,294 "," R$1,374,547 "," R$930,186 "," R$1,436,255 "," R$1,418,195 "," R$3,392,686 ",17%," R$1,805,342 ",4%,251%,33%,14%,11%,0.49,30/06/2022," R$9,038 "," 5,162 ", Liquidez Moderada 
94.00, Taesa , PN , TAEE4 ," R$13,493,043 ",-,-, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.50,15.5%,6.00,1.90,4.10,13.05, R$1.77 , R$2.02 ,13.6%,88%," R$7,154,162 "," R$8,636,712 "," R$1,843,025 "," R$6,793,687 ",1.21,2.00, Baixo Endividamento ," R$1,539,294 "," R$1,374,547 "," R$930,186 "," R$1,436,255 "," R$1,418,195 "," R$3,392,686 ",17%," R$1,805,342 ",4%,251%,33%,14%,11%,0.59,30/06/2022," R$14,022 "," 5,594 ", Liquidez Alta 
95.00, Taesa , UNT N2 , TAEE11 ," R$13,493,043 ",0.4%,0.4%, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.40,15.5%,6.00,1.90,4.10,38.95, R$1.77 , R$2.02 ,13.6%,88%," R$7,154,162 "," R$8,636,712 "," R$1,843,025 "," R$6,793,687 ",1.21,2.00, Baixo Endividamento ," R$1,539,294 "," R$1,374,547 "," R$930,186 "," R$1,436,255 "," R$1,418,195 "," R$3,392,686 ",17%," R$1,805,342 ",4%,251%,33%,14%,11%,0.55,30/06/2022," R$322,755 "," 42,116 ", Liquidez Alta 
96.00, Energias BR , ON , ENBR3 ," R$13,059,510 ",0.3%,0.3%, Crescimento e Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,6.00,16.7%,4.90,1.20,0.70,23.01, R$2.19 , R$3.85 ,9.5%,57%," R$11,248,694 "," R$13,316,857 "," R$2,203,804 "," R$11,113,053 ",1.18,2.11, Baixo Endividamento ," R$2,888,626 "," R$2,182,361 "," R$2,170,303 "," R$2,773,174 "," R$2,982,817 "," R$5,098,384 ",12%," R$3,052,552 ",111%,440%,21%,10%,7%,0.59,30/06/2022," R$275,589 "," 50,327 ", Liquidez Alta 
97.00, Alpargatas , ON , ALPA3 ," R$12,768,147 ",-,-, Crescimento , Nível 1 , Consumo cíclico , Tecidos vestuário e calçados , Calçados ,19.00,5.3%,22.50,2.00,2.60,17.01, R$0.40 , R$0.89 ,2.3%,44%," R$5,733,075 "," R$224,641 "," R$273,099 ","-R$48,458 ",0.04,-0.09, Empresa com Mais Caixa que Dívida ," R$470,416 "," R$575,964 "," R$486,239 "," R$564,674 "," R$588,303 "," R$565,819 ",4%,"-R$2,076 ",-144035%,2247%,17%,5%,7%,0.84,30/06/2022, R$366 , 65 , Liquidez Baixa 
98.00, Alpargatas , PN , ALPA4 ," R$12,768,147 ",0.2%,0.2%, Dividendos , Nível 1 , Consumo cíclico , Tecidos vestuário e calçados , Calçados ,23.40,4.3%,22.50,2.50,3.20,20.89, R$0.44 , R$0.89 ,2.1%,49%," R$5,733,075 "," R$224,641 "," R$273,099 ","-R$48,458 ",0.04,-0.09, Empresa com Mais Caixa que Dívida ," R$470,416 "," R$575,964 "," R$486,239 "," R$564,674 "," R$588,303 "," R$565,819 ",4%,"-R$2,076 ",-144035%,2247%,17%,5%,7%,0.85,30/06/2022," R$223,496 "," 43,163 ", Liquidez Alta 
99.00, Gerdau Met , ON , GOAU3 ," R$11,909,935 ",-,-, Dividendos , Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,2.20,46.2%,1.90,0.70,0.10,10.65, R$2.30 , R$4.92 ,21.6%,47%," R$16,259,201 "," R$12,444,766 "," R$5,776,762 "," R$6,668,004 ",0.77,0.16, Baixo Endividamento ,"-R$728,485 "," R$891,194 "," R$3,184,282 "," R$5,914,531 "," R$5,249,007 "," R$25,385,734 ",-303%," R$17,499,960 ",20%,128%,43%,26%,21%,1.25,30/06/2022," R$4,415 "," 1,451 ", Liquidez Moderada 
100.00, Gerdau Met , PN , GOAU4 ," R$11,909,935 ",0.4%,0.3%, Dividendos , Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,2.30,43.2%,1.90,0.70,0.10,11.40, R$2.30 , R$4.92 ,20.2%,47%," R$16,259,201 "," R$12,444,766 "," R$5,776,762 "," R$6,668,004 ",0.77,0.16, Baixo Endividamento ,"-R$728,485 "," R$891,194 "," R$3,184,282 "," R$5,914,531 "," R$5,249,007 "," R$25,385,734 ",-303%," R$17,499,960 ",20%,128%,43%,26%,21%,1.29,30/06/2022," R$414,447 "," 53,302 ", Liquidez Alta 
101.00, Intelbras , ON , INTB3 ," R$11,266,546 ",-,-, Crescimento , Novo Mercado , Tecnologia da informação , Computadores e equipamentos , Computadores e equipamentos ,29.20,3.4%,26.00,5.50,3.20,34.39, R$0.36 , R$1.18 ,1.1%,31%," R$2,052,929 "," R$542,328 "," R$654,195 ","-R$111,867 ",0.26,-0.26, Empresa com Mais Caixa que Dívida , - , - ," R$194,564 "," R$203,556 "," R$202,611 "," R$428,934 ",-," R$225,219 ",115%,452%,21%,11%,10%,-,30/06/2022," R$208,249 "," 23,285 ", Liquidez Alta 
102.00, Dasa , ON , DASA3 ," R$11,209,732 ",-,-," Alerta, Prejuízo ", Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,-62.80,-1.6%,10.30,1.50,0.90,20.00, R$0.30 ,-R$0.32 ,1.5%,-95%," R$7,471,901 "," R$9,917,680 "," R$763,697 "," R$9,153,983 ",1.33,4.08, Baixo Endividamento ," R$345,275 "," R$529,142 "," R$563,376 "," R$605,491 "," R$853,929 "," R$1,802,877 ",39%," R$504,396 ",671%,318%,-2%,3%,-1%,0.14,30/06/2022," R$15,815 "," 5,991 ", Liquidez Alta 
