Dados Cadastrais ,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
Nome , Classe , Código de Neg. , Valor de Mercado , Participação no Ibovespa , Participação no IBRX 100 , Classificação , Seg. Listagem , Setor Bovespa , Subsetor Bovespa , Segmento Bovespa , P/L , L/P , EV/EBITDA , P/VPA , PSR , Cotação , Dividendo por Ação , Lucro por Ação , Dividend Yield , Payout , Patrimônio , Dívida Bruta , Caixa e Equivalentes , Caixa Líquido , Div Bruta/PL , Div. Líquida/Ebitda , Análise ,2015,2016,2017,2018,2019,2020E (últimos 12 meses),Crescimento Médio Anual, FCO , Capex/FCO , Capex/D&A , ROE , ROIC , ROA , Beta , Data do Balanço Mais Recente , Volume Negociado , Quantidade de Negócios , Análise 
Braskem , ON , BRKM3 ," R$26,810,460 ",-,-, Crescimento e Dividendos , Nível 1 , Materiais básicos , Químicos , Petroquímicos ,4.40,22.8%,2.30,3.00,0.30,36.12, R$9.24 , R$8.22 ,25.6%,112%," R$9,469,268 "," R$34,238,355 "," R$9,527,745 "," R$24,710,610 ",3.62,1.04, Dívida Moderada ," R$9,167,120 "," R$8,634,347 "," R$12,287,917 "," R$11,294,520 "," R$3,575,687 "," R$20,115,352 ",17%," R$13,675,587 ",30%,91%,90%,19%,7%,1.14,30/06/2022," R$2,276 ", 287 , Liquidez Moderada 
Braskem , PNA , BRKM5 ," R$26,810,460 ",0.4%,0.4%, Crescimento e Dividendos , Nível 1 , Materiais básicos , Químicos , Petroquímicos ,3.70,27.0%,2.30,2.60,0.20,30.45, R$9.24 , R$8.22 ,30.3%,112%," R$9,469,268 "," R$34,238,355 "," R$9,527,745 "," R$24,710,610 ",3.62,1.04, Dívida Moderada ," R$9,167,120 "," R$8,634,347 "," R$12,287,917 "," R$11,294,520 "," R$3,575,687 "," R$20,115,352 ",17%," R$13,675,587 ",30%,91%,90%,19%,7%,0.88,30/06/2022," R$356,229 "," 40,813 ", Liquidez Alta 
Equatorial , ON , EQTL3 ," R$26,599,559 ",1.3%,1.2%, Crescimento , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,7.70,13.0%,7.50,1.70,0.90,24.18, R$0.64 , R$3.15 ,2.7%,20%," R$15,801,255 "," R$32,663,303 "," R$3,830,698 "," R$28,832,605 ",2.07,3.33, Dívida Alta ," R$1,132,285 "," R$1,528,872 "," R$1,796,987 "," R$2,534,552 "," R$4,944,515 "," R$6,861,437 ",43%," R$2,149,092 ",45%,73%,30%,7%,5%,0.85,30/06/2022," R$797,109 "," 84,237 ", Liquidez Alta 
Lojas Renner , ON , LREN3 ," R$25,635,189 ",1.4%,1.3%, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Comércio , Tecidos vestuário e calçados ,22.90,4.4%,10.60,2.70,2.00,26.47, R$0.55 , R$1.16 ,2.1%,48%," R$9,648,345 "," R$3,442,332 "," R$4,365,617 ","-R$923,285 ",0.36,-0.56, Empresa com Mais Caixa que Dívida ," R$1,198,033 "," R$1,286,951 "," R$1,416,289 "," R$1,738,395 "," R$2,373,745 "," R$2,298,480 ",14%," R$1,865,064 ",54%,102%,12%,8%,5%,1.19,30/06/2022," R$1,341,898 "," 123,999 ", Liquidez Alta 
Assai , ON , ASAI3 ," R$24,775,247 ",0.7%,0.7%, Crescimento , Novo Mercado , Consumo não cíclico , Comércio e distribuição , Alimentos ,14.00,7.2%,9.50,10.30,1.00,18.39, R$0.17 , R$1.19 ,0.9%,15%," R$3,311,000 "," R$11,366,000 "," R$3,108,000 "," R$8,258,000 ",3.43,2.33, Dívida Moderada , - , - ," R$1,113,000 "," R$2,014,000 "," R$2,212,000 "," R$3,551,000 ",-," R$4,002,000 ",132%,646%,83%,9%,5%,-,30/06/2022," R$603,816 "," 105,227 ", Liquidez Alta 
Eneva , ON , ENEV3 ," R$24,509,437 ",1.2%,1.1%," Alerta, Baixo Crescimento ", Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,16.70,6.0%,12.60,1.80,3.70,15.50, R$-   , R$0.93 ,0.0%,0%," R$13,627,894 "," R$10,160,172 "," R$3,304,137 "," R$6,856,035 ",0.75,2.19, Baixo Endividamento ," R$277,347 "," R$916,650 "," R$1,124,612 "," R$1,562,969 "," R$1,456,692 "," R$2,351,692 ",53%," R$1,220,459 ",184%,377%,15%,6%,5%,0.68,30/06/2022," R$464,253 "," 74,355 ", Liquidez Alta 
Petrorio , ON , PRIO3 ," R$23,049,477 ",1.1%,1.1%, Crescimento , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,8.70,11.6%,5.40,2.80,3.80,27.31, R$-   , R$3.16 ,0.0%,0%," R$8,171,627 "," R$6,646,011 "," R$3,193,381 "," R$3,452,630 ",0.81,0.02, Baixo Endividamento ," R$150,050 "," R$328,655 "," R$131,666 "," R$247,220 "," R$1,387,214 "," R$4,262,070 ",95%," R$3,050,129 ",110%,371%,50%,25%,17%,2.05,30/06/2022," R$1,930,898 "," 158,717 ", Liquidez Alta 
Klabin S/A , ON , KLBN3 ," R$20,839,268 ",-,-, Crescimento , Nível 2 , Materiais básicos , Madeira e papel , Papel e celulose ,5.40,18.4%,4.50,2.60,1.10,3.80, R$0.28 , R$0.70 ,7.3%,40%," R$7,973,273 "," R$27,920,874 "," R$4,875,896 "," R$23,044,978 ",3.50,2.14, Dívida Moderada ," R$2,490,549 "," R$2,821,258 "," R$3,492,539 "," R$4,656,952 "," R$4,719,788 "," R$9,590,567 ",31%," R$6,037,518 ",75%,153%,65%,13%,9%,0.52,30/06/2022," R$15,240 "," 12,201 ", Liquidez Alta 
Klabin S/A , PN , KLBN4 ," R$20,839,268 ",-,-, Crescimento , Nível 2 , Materiais básicos , Madeira e papel , Papel e celulose ,5.40,18.5%,4.50,2.60,1.10,3.78, R$0.28 , R$0.70 ,7.3%,40%," R$7,973,273 "," R$27,920,874 "," R$4,875,896 "," R$23,044,978 ",3.50,2.14, Dívida Moderada ," R$2,490,549 "," R$2,821,258 "," R$3,492,539 "," R$4,656,952 "," R$4,719,788 "," R$9,590,567 ",31%," R$6,037,518 ",75%,153%,65%,13%,9%,0.48,30/06/2022," R$66,119 "," 25,479 ", Liquidez Alta 
Klabin S/A , UNT N2 , KLBN11 ," R$20,839,268 ",0.8%,0.7%, Crescimento , Nível 2 , Materiais básicos , Madeira e papel , Papel e celulose ,5.40,18.5%,4.50,2.60,1.10,18.83, R$0.28 , R$0.70 ,7.4%,40%," R$7,973,273 "," R$27,920,874 "," R$4,875,896 "," R$23,044,978 ",3.50,2.14, Dívida Moderada ," R$2,490,549 "," R$2,821,258 "," R$3,492,539 "," R$4,656,952 "," R$4,719,788 "," R$9,590,567 ",31%," R$6,037,518 ",75%,153%,65%,13%,9%,0.51,30/06/2022," R$794,405 "," 117,209 ", Liquidez Alta 
Vibra , ON , VBBR3 ," R$20,469,637 ",1.1%,1.0%, Crescimento , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,7.90,12.7%,7.80,1.60,0.10,18.36, R$0.58 , R$2.33 ,3.2%,25%," R$13,067,000 "," R$15,775,000 "," R$2,759,000 "," R$13,016,000 ",1.21,3.04, Baixo Endividamento ,"-R$1,165,000 "," R$439,000 "," R$2,574,000 "," R$2,803,000 "," R$1,881,000 "," R$4,278,000 ",-230%," R$1,626,000 ",106%,311%,23%,9%,7%,1.23,30/06/2022," R$839,697 "," 117,596 ", Liquidez Alta 
Neoenergia , ON , NEOE3 ," R$20,064,062 ",-,-, Crescimento , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,4.80,20.9%,4.90,0.80,0.40,16.53, R$0.80 , R$3.46 ,4.8%,23%," R$25,470,000 "," R$42,056,000 "," R$6,693,000 "," R$35,363,000 ",1.65,3.07, Dívida Alta ," R$2,242,582 "," R$2,700,503 "," R$3,003,822 "," R$4,397,944 "," R$5,572,125 "," R$11,463,000 ",39%," R$2,114,000 ",165%,184%,19%,9%,5%,0.75,30/06/2022," R$98,049 "," 25,490 ", Liquidez Alta 
Csn Mineracao , ON , CMIN3 ," R$19,856,927 ",0.2%,0.2%, Crescimento e Dividendos , Nível 2 , Materiais básicos , Mineração , Minerais metálicos ,6.50,15.3%,3.60,1.60,1.60,3.62, R$0.55 , R$0.56 ,15.1%,98%," R$12,745,458 "," R$6,663,495 "," R$7,369,032 ","-R$705,537 ",0.52,-0.18, Empresa com Mais Caixa que Dívida , - , - ," R$1,935,036 "," R$2,500,459 "," R$5,801,738 "," R$5,219,276 ",-," R$2,574,331 ",56%,159%,20%,21%,13%,-,30/06/2022," R$131,889 "," 28,920 ", Liquidez Alta 
Energisa , ON , ENGI3 ," R$19,848,385 ",-,-, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,9.00,11.2%,6.10,2.50,0.90,13.57, R$0.67 , R$1.51 ,5.0%,44%," R$9,788,823 "," R$27,223,664 "," R$825,039 "," R$26,398,625 ",2.78,3.05, Dívida Alta ," R$1,564,597 "," R$1,820,223 "," R$2,052,568 "," R$3,817,591 "," R$3,499,912 "," R$6,967,675 ",35%," R$2,149,862 ",192%,325%,33%,8%,5%,0.43,30/06/2022," R$1,087 ", 539 , Liquidez Moderada 
Energisa , PN , ENGI4 ," R$19,848,385 ",-,-, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,4.80,20.8%,6.10,1.30,0.50,7.28, R$0.67 , R$1.51 ,9.2%,44%," R$9,788,823 "," R$27,223,664 "," R$825,039 "," R$26,398,625 ",2.78,3.05, Dívida Alta ," R$1,564,597 "," R$1,820,223 "," R$2,052,568 "," R$3,817,591 "," R$3,499,912 "," R$6,967,675 ",35%," R$2,149,862 ",192%,325%,33%,8%,5%,1.05,30/06/2022," R$1,749 ", 940 , Liquidez Moderada 
Energisa , UNT N2 , ENGI11 ," R$19,848,385 ",0.5%,0.5%, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,5.60,17.9%,6.10,1.60,0.50,42.29, R$0.67 , R$1.51 ,8.0%,44%," R$9,788,823 "," R$27,223,664 "," R$825,039 "," R$26,398,625 ",2.78,3.05, Dívida Alta ," R$1,564,597 "," R$1,820,223 "," R$2,052,568 "," R$3,817,591 "," R$3,499,912 "," R$6,967,675 ",35%," R$2,149,862 ",192%,325%,33%,8%,5%,0.89,30/06/2022," R$696,278 "," 52,556 ", Liquidez Alta 
Grupo Natura , ON , NTCO3 ," R$19,800,245 ",0.6%,0.6%," Alerta, Prejuízo ", Novo Mercado , Consumo não cíclico , Produtos de uso pessoal e de limpeza , Produtos de uso pessoal ,-44.90,-2.2%,8.30,0.80,0.50,14.42, R$0.13 ,-R$0.32 ,0.9%,-41%," R$24,231,110 "," R$13,039,537 "," R$3,043,826 "," R$9,995,711 ",0.54,2.54, Baixo Endividamento ," R$1,495,966 "," R$1,343,639 "," R$1,741,993 "," R$1,846,604 "," R$2,468,664 "," R$3,457,112 ",18%,"-R$24,240 ",-5189%,47%,-2%,1%,-1%,1.42,30/06/2022," R$885,483 "," 118,549 ", Liquidez Alta 
Nu Holdings Ltd , ON , NUBR33 ," R$19,547,135 ",-,-," Alerta, Prejuízo ", BDR nível 3 , - , - , - ,-18.60,-5.4%,-,0.80,-,4.18, - ,-R$0.22 ,N/D,-," R$24,901,808 ", - ," R$19,455,522 ", - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$11,584,026 ",-,N/D,-10%,,-1%,-,30/06/2022," R$137,244 "," 42,047 ", Liquidez Alta 
Copel , ON , CPLE3 ," R$18,693,871 ",-,-, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,5.40,18.6%,4.80,0.90,0.70,6.56, R$1.06 , R$1.22 ,16.2%,87%," R$20,596,167 "," R$12,905,041 "," R$3,618,179 "," R$9,286,862 ",0.63,1.56, Baixo Endividamento ," R$2,585,210 "," R$2,752,398 "," R$2,872,980 "," R$3,143,226 "," R$4,284,517 "," R$5,911,576 ",18%," R$4,579,828 ",30%,114%,17%,8%,7%,0.75,30/06/2022," R$17,351 "," 7,325 ", Liquidez Alta 
Copel , PNB , CPLE6 ," R$18,693,871 ",0.6%,0.5%, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,5.70,17.5%,4.80,0.90,0.80,6.97, R$1.17 , R$1.22 ,16.8%,96%," R$20,596,167 "," R$12,905,041 "," R$3,618,179 "," R$9,286,862 ",0.63,1.56, Baixo Endividamento ," R$2,585,210 "," R$2,752,398 "," R$2,872,980 "," R$3,143,226 "," R$4,284,517 "," R$5,911,576 ",18%," R$4,579,828 ",30%,114%,17%,8%,7%,0.79,30/06/2022," R$185,316 "," 50,360 ", Liquidez Alta 
Copel , UNT , CPLE11 ," R$18,693,871 ",-,-, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,5.70,17.7%,4.80,0.90,0.80,34.55, R$1.15 , R$1.22 ,16.6%,94%," R$20,596,167 "," R$12,905,041 "," R$3,618,179 "," R$9,286,862 ",0.63,1.56, Baixo Endividamento ," R$2,585,210 "," R$2,752,398 "," R$2,872,980 "," R$3,143,226 "," R$4,284,517 "," R$5,911,576 ",18%," R$4,579,828 ",30%,114%,17%,8%,7%,-,30/06/2022," R$30,953 "," 6,824 ", Liquidez Alta 
Sid Nacional , ON , CSNA3 ," R$18,300,096 ",0.5%,0.4%, Crescimento , Tradicional , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,5.40,18.5%,2.80,0.90,0.40,13.80, R$0.87 , R$2.55 ,6.3%,34%," R$21,265,483 "," R$34,751,498 "," R$14,923,694 "," R$19,827,804 ",1.63,1.29, Dívida Moderada ," R$6,354,465 "," R$3,267,973 "," R$4,437,300 "," R$8,219,581 "," R$5,061,248 "," R$14,106,917 ",17%," R$5,561,712 ",90%,198%,16%,17%,5%,1.41,30/06/2022," R$785,717 "," 69,870 ", Liquidez Alta 
Energisa Mt , ON , ENMT3 ," R$18,213,780 ",-,-, Crescimento e Dividendos , Tradicional , Utilidade pública , Energia elétrica , Energia elétrica ,14.60,6.9%,10.10,5.30,2.30,83.19, R$2.98 , R$5.71 ,3.6%,52%," R$3,417,752 "," R$4,748,901 "," R$61,314 "," R$4,687,587 ",1.39,1.77, Baixo Endividamento ," R$311,477 "," R$513,355 "," R$515,261 "," R$920,795 "," R$1,055,907 "," R$2,197,194 ",48%," R$1,093,036 ",65%,305%,42%,13%,11%,0.22,30/06/2022, R$290 , 20 , Liquidez Baixa 
Tran Paulist , ON , TRPL3 ," R$17,855,250 ",-,-, Crescimento , Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,7.50,13.4%,5.70,1.40,3.60,32.15, R$1.48 , R$4.29 ,4.6%,35%," R$15,601,452 "," R$7,991,870 "," R$221,490 "," R$7,770,380 ",0.51,1.56, Baixo Endividamento ," R$622,579 "," R$7,402,236 "," R$2,056,948 "," R$2,468,072 "," R$2,361,135 "," R$4,443,136 ",48%," R$364,013 ",40%,556%,20%,10%,9%,0.40,30/06/2022, R$276 , 66 , Liquidez Baixa 
Tran Paulist , PN , TRPL4 ," R$17,855,250 ",-,-, Crescimento , Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,5.60,18.0%,5.70,1.00,2.60,23.85, R$1.48 , R$4.29 ,6.2%,35%," R$15,601,452 "," R$7,991,870 "," R$221,490 "," R$7,770,380 ",0.51,1.56, Baixo Endividamento ," R$622,579 "," R$7,402,236 "," R$2,056,948 "," R$2,468,072 "," R$2,361,135 "," R$4,443,136 ",48%," R$364,013 ",40%,556%,20%,10%,9%,0.49,30/06/2022," R$191,644 "," 25,735 ", Liquidez Alta 
Totvs , ON , TOTS3 ," R$17,293,680 ",0.8%,0.7%, Crescimento , Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,41.60,2.4%,20.30,4.00,4.80,28.55, R$0.23 , R$0.69 ,0.8%,34%," R$4,331,693 "," R$1,751,723 "," R$2,567,054 ","-R$815,331 ",0.40,-0.99, Empresa com Mais Caixa que Dívida ," R$331,968 "," R$343,917 "," R$294,493 "," R$259,439 "," R$472,237 "," R$824,301 ",20%," R$781,966 ",59%,177%,16%,8%,4%,1.00,30/06/2022," R$606,221 "," 81,172 ", Liquidez Alta 
BRF SA , ON , BRFS3 ," R$17,085,152 ",0.9%,0.8%," Alerta, Prejuízo ", Novo Mercado , Consumo não cíclico , Alimentos processados , Carnes e derivados ,-9.80,-10.3%,7.70,1.40,0.30,15.85, R$-   ,-R$1.63 ,0.0%,0%," R$12,186,918 "," R$23,026,325 "," R$7,887,641 "," R$15,138,684 ",1.89,3.50, Dívida Alta ," R$5,545,090 "," R$3,418,015 "," R$2,654,094 "," R$1,540,867 "," R$5,254,051 "," R$4,221,302 ",-5%," R$1,983,761 ",11%,8%,-17%,3%,-3%,1.46,30/06/2022," R$750,993 "," 119,174 ", Liquidez Alta 
Comgas , PNA , CGAS5 ," R$16,908,215 ",-,-, Crescimento e Dividendos , Tradicional , Utilidade pública , Gás , Gás ,9.50,10.5%,7.30,14.60,1.20,137.01, R$17.95 , R$14.45 ,13.1%,124%," R$1,243,874 "," R$6,806,296 "," R$979,010 "," R$5,827,286 ",5.47,1.87, Dívida Moderada ," R$1,530,474 "," R$1,965,283 "," R$1,518,481 "," R$2,186,264 "," R$2,512,613 "," R$3,113,647 ",15%," R$2,390,398 ",47%,238%,128%,19%,15%,0.39,30/06/2022," R$1,016 ", 57 , Liquidez Moderada 
Auren , ON , AURE3 ," R$15,370,000 ",-,0.2%, Crescimento e Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,-,-,-,1.20,-,15.37, - , - ,N/D,-," R$12,732,202 "," R$5,591,229 "," R$3,211,067 "," R$2,380,162 ",0.44,-, Baixo Endividamento , - , - , - , - , - , - ,-, - ,-,N/D,,,,-,30/06/2022," R$371,013 "," 46,527 ", Liquidez Alta 
Cielo , ON , CIEL3 ," R$14,809,545 ",0.3%,0.3%, Crescimento e Dividendos , Novo Mercado , Financeiro , Serviços financeiros diversos , Serviços financeiros diversos ,-,-,-,1.40,-,5.50, R$0.22 , - ,4.0%,-," R$10,571,776 "," R$6,947,661 "," R$1,756,224 "," R$5,191,437 ",0.66,-, Baixo Endividamento ," R$5,233,511 "," R$5,535,148 "," R$5,277,864 "," R$4,634,796 "," R$3,026,119 ", - ,-, - ,-,N/D,,,,1.11,30/06/2022," R$1,050,140 "," 125,293 ", Liquidez Alta 
Ultrapar , ON , UGPA3 ," R$14,761,205 ",0.8%,0.7%, Crescimento , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,8.90,11.2%,6.90,1.40,0.10,13.53, R$0.58 , R$1.52 ,4.3%,38%," R$10,841,210 "," R$14,528,709 "," R$4,707,303 "," R$9,821,406 ",1.34,2.47, Baixo Endividamento ," R$3,953,293 "," R$4,216,724 "," R$4,063,544 "," R$2,697,064 "," R$2,788,362 "," R$3,421,150 ",-3%," R$501,309 ",-1055%,-605%,17%,8%,5%,1.24,30/06/2022," R$403,077 "," 72,816 ", Liquidez Alta 
Americanas , ON , AMER3 ," R$14,685,787 ",0.5%,0.5%, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Comércio , Produtos diversos ,29.10,3.4%,7.20,1.00,0.50,16.34, R$0.62 , R$0.56 ,3.8%,111%," R$15,106,033 "," R$15,522,660 "," R$2,482,054 "," R$13,040,606 ",1.03,2.73, Baixo Endividamento ," R$652,069 "," R$652,922 "," R$583,279 "," R$412,315 "," R$626,359 "," R$3,286,070 ",38%," R$130,285 ",3476%,237%,3%,3%,1%,1.17,30/06/2022," R$2,670,560 "," 171,289 ", Liquidez Alta 
Taesa , ON , TAEE3 ," R$14,305,068 ",-,-, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.90,14.6%,6.20,2.00,4.30,13.82, R$1.77 , R$2.02 ,12.8%,88%," R$7,154,162 "," R$8,636,712 "," R$1,843,025 "," R$6,793,687 ",1.21,2.00, Baixo Endividamento ," R$1,539,294 "," R$1,374,547 "," R$930,186 "," R$1,436,255 "," R$1,418,195 "," R$3,392,686 ",17%," R$1,805,342 ",4%,251%,33%,14%,11%,0.49,30/06/2022," R$6,396 "," 3,519 ", Liquidez Moderada 
Taesa , PN , TAEE4 ," R$14,305,068 ",-,-, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.90,14.5%,6.20,2.00,4.30,13.87, R$1.77 , R$2.02 ,12.8%,88%," R$7,154,162 "," R$8,636,712 "," R$1,843,025 "," R$6,793,687 ",1.21,2.00, Baixo Endividamento ," R$1,539,294 "," R$1,374,547 "," R$930,186 "," R$1,436,255 "," R$1,418,195 "," R$3,392,686 ",17%," R$1,805,342 ",4%,251%,33%,14%,11%,0.59,30/06/2022," R$10,338 "," 3,732 ", Liquidez Alta 
Taesa , UNT N2 , TAEE11 ," R$14,305,068 ",0.5%,0.4%, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.90,14.5%,6.20,2.00,4.30,41.68, R$1.77 , R$2.02 ,12.8%,88%," R$7,154,162 "," R$8,636,712 "," R$1,843,025 "," R$6,793,687 ",1.21,2.00, Baixo Endividamento ," R$1,539,294 "," R$1,374,547 "," R$930,186 "," R$1,436,255 "," R$1,418,195 "," R$3,392,686 ",17%," R$1,805,342 ",4%,251%,33%,14%,11%,0.56,30/06/2022," R$322,829 "," 41,089 ", Liquidez Alta 
M.Diasbranco , ON , MDIA3 ," R$14,210,444 ",-,-, Dividendos , Novo Mercado , Consumo não cíclico , Alimentos processados , Alimentos diversos ,23.00,4.3%,16.70,2.20,1.60,42.27, R$1.95 , R$1.84 ,4.6%,106%," R$6,544,004 "," R$1,730,157 "," R$656,091 "," R$1,074,066 ",0.26,1.16, Baixo Endividamento ," R$686,636 "," R$919,418 "," R$966,325 "," R$933,120 "," R$772,054 "," R$915,357 ",6%," R$535,174 ",54%,98%,9%,5%,6%,0.80,30/06/2022," R$422,629 "," 47,456 ", Liquidez Alta 
Grupo Mateus , ON , GMAT3 ," R$14,184,002 ",-,-, Crescimento , Novo Mercado , Consumo não cíclico , Comércio e distribuição , Alimentos ,16.20,6.2%,-,2.10,0.80,6.42, R$-   , R$0.40 ,0.0%,0%," R$6,861,075 "," R$2,317,285 "," R$889,893 "," R$1,427,392 ",0.34,-, Baixo Endividamento , - , - , - , - , - , - ,-," R$297,802 ",-,N/D,15%,8%,8%,-,30/06/2022," R$170,653 "," 49,787 ", Liquidez Alta 
Multiplan , ON , MULT3 ," R$14,135,922 ",0.3%,0.3%, Dividendos , Nível 2 , Financeiro , Exploração de imóveis , Exploração de imóveis ,21.70,4.6%,15.00,2.20,8.90,24.10, R$0.75 , R$1.11 ,3.1%,67%," R$6,479,048 "," R$2,994,646 "," R$159,794 "," R$2,834,852 ",0.46,1.89, Baixo Endividamento ," R$781,400 "," R$810,798 "," R$818,053 "," R$939,182 "," R$925,006 "," R$1,077,954 ",7%," R$1,121,212 ",41%,221%,10%,6%,6%,1.12,30/06/2022," R$358,716 "," 61,674 ", Liquidez Alta 
Vamos , ON , VAMO3 ," R$13,672,420 ",-,-, Crescimento , Novo Mercado , Consumo cíclico , Diversos , Aluguel de carros ,27.30,3.7%,12.90,4.70,3.60,14.11, R$0.20 , R$0.52 ,1.4%,38%," R$2,880,035 "," R$7,201,579 "," R$96,152 "," R$7,105,427 ",2.50,3.16, Dívida Alta , - , R$133 , R$270 ," R$426,119 "," R$527,624 "," R$1,403,035 ",-,"-R$5,535,129 ",-2%,41%,32%,9%,4%,-,30/06/2022," R$165,781 "," 32,809 ", Liquidez Alta 
Porto Seguro , ON , PSSA3 ," R$13,465,035 ",-,0.2%, Dividendos , Novo Mercado , Financeiro , Previdência e seguros , Seguradoras ,15.00,6.7%,5.50,1.40,0.60,21.11, R$1.35 , R$1.41 ,6.4%,96%," R$9,409,948 ", R$-   ," R$2,258,370 ","-R$2,258,370 ",0.00,-12.81, Empresa com Mais Caixa que Dívida ," R$538,726 "," R$326,985 "," R$628,341 "," R$1,493,052 "," R$1,225,313 "," R$734,328 ",6%," R$4,327,119 ",21%,357%,10%,3%,2%,0.76,30/06/2022," R$384,710 "," 52,290 ", Liquidez Alta 
Alpargatas , ON , ALPA3 ," R$13,081,685 ",-,-," Alerta, Baixo Crescimento ", Nível 1 , Consumo cíclico , Tecidos vestuário e calçados , Calçados ,20.30,4.9%,23.00,2.10,2.80,18.18, R$0.40 , R$0.89 ,2.2%,44%," R$5,733,075 "," R$224,641 "," R$273,099 ","-R$48,458 ",0.04,-0.09, Empresa com Mais Caixa que Dívida ," R$470,416 "," R$575,964 "," R$486,239 "," R$564,674 "," R$588,303 "," R$565,819 ",4%,"-R$2,076 ",-144035%,2247%,17%,5%,7%,0.86,30/06/2022," R$1,242 ", 361 , Liquidez Moderada 
Alpargatas , PN , ALPA4 ," R$13,081,685 ",0.2%,0.2%, Dividendos , Nível 1 , Consumo cíclico , Tecidos vestuário e calçados , Calçados ,23.10,4.3%,23.00,2.40,3.20,20.64, R$0.44 , R$0.89 ,2.1%,49%," R$5,733,075 "," R$224,641 "," R$273,099 ","-R$48,458 ",0.04,-0.09, Empresa com Mais Caixa que Dívida ," R$470,416 "," R$575,964 "," R$486,239 "," R$564,674 "," R$588,303 "," R$565,819 ",4%,"-R$2,076 ",-144035%,2247%,17%,5%,7%,0.87,30/06/2022," R$664,301 "," 108,767 ", Liquidez Alta 
Energias BR , ON , ENBR3 ," R$12,877,891 ",0.3%,0.2%, Crescimento e Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,5.90,17.0%,4.90,1.10,0.70,22.69, R$2.19 , R$3.85 ,9.7%,57%," R$11,248,694 "," R$13,316,857 "," R$2,203,804 "," R$11,113,053 ",1.18,2.11, Baixo Endividamento ," R$2,888,626 "," R$2,182,361 "," R$2,170,303 "," R$2,773,174 "," R$2,982,817 "," R$5,098,384 ",12%," R$3,052,552 ",111%,440%,21%,10%,7%,0.58,30/06/2022," R$350,526 "," 51,551 ", Liquidez Alta 
Dasa , ON , DASA3 ," R$11,770,219 ",-,-," Alerta, Prejuízo ", Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,-65.90,-1.5%,10.60,1.60,1.00,21.00, R$0.30 ,-R$0.32 ,1.4%,-95%," R$7,471,901 "," R$9,917,680 "," R$763,697 "," R$9,153,983 ",1.33,4.08, Baixo Endividamento ," R$345,275 "," R$529,142 "," R$563,376 "," R$605,491 "," R$853,929 "," R$1,802,877 ",39%," R$504,396 ",671%,318%,-2%,3%,-1%,0.14,30/06/2022," R$25,108 "," 9,133 ", Liquidez Alta 
Sao Martinho , ON , SMTO3 ," R$11,035,510 ",-,0.2%, Crescimento e Dividendos , Novo Mercado , Consumo não cíclico , Alimentos processados , Açúcar e álcool ,7.30,13.7%,5.10,2.10,1.80,31.86, R$2.19 , R$4.37 ,6.9%,50%," R$5,382,589 "," R$9,184,906 "," R$175,087 "," R$9,009,819 ",1.71,1.85, Dívida Moderada ," R$1,047,476 "," R$1,101,481 "," R$1,327,046 "," R$1,616,898 "," R$1,738,649 "," R$3,428,096 ",27%," R$3,390,390 ",76%,298%,34%,12%,8%,1.19,30/06/2022," R$156,666 "," 31,305 ", Liquidez Alta 
