 Dados Cadastrais ,,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
 Nome , Classe , Código de Neg. , Valor de Mercado , Participação no Ibovespa , Participação no IBRX 100 , Classificação de Mercado , Classificação , Seg. Listagem , Setor Bovespa , Subsetor Bovespa , Segmento Bovespa , P/L , L/P , EV/EBITDA , P/VPA , PSR , Cotação , Dividendo por Ação , Lucro por Ação , Dividend Yield , Payout , Patrimônio , Dívida Bruta , Caixa e Equivalentes , Caixa Líquido , Div Bruta/PL , Div. Líquida/Ebitda , Análise ,EBITDA_2015,EBITDA_2016,EBITDA_2017,EBITDA_2018,EBITDA_2019,EBITDA_2020E (últimos 12 meses),Crescimento Médio Anual, FCO , Capex/FCO , Capex/D&A , ROE , ROIC , ROA , Beta , Data do Balanço Mais Recente , Volume Negociado , Quantidade de Negócios , Análise 
 Cemig , ON , CMIG3 ," R$25,335,406 ",-,-,Small Cap, Crescimento e Dividendos , Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,8.00,12.5%,4.30,1.50,0.90,13.61, R$1.01 , R$1.70 ,7.4%,59%," R$19,456,411 "," R$11,363,963 "," R$825,208 "," R$10,538,755 ",0.58,1.10, Baixo Endividamento ," R$4,931,483 "," R$2,639,409 "," R$3,492,175 "," R$3,344,990 "," R$4,067,618 "," R$8,020,735 ",10%," R$3,683,357 ",20%,67%,22%,11%,7%,1.16,31/12/2021," R$51,169 "," 13,403 ", Liquidez Alta 
 Cemig , PN , CMIG4 ," R$25,335,406 ",0.8%,0.7%,Small Cap, Crescimento e Dividendos , Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,6.10,16.3%,4.30,1.20,0.70,10.46, R$1.01 , R$1.70 ,9.6%,59%," R$19,456,411 "," R$11,363,963 "," R$825,208 "," R$10,538,755 ",0.58,1.10, Baixo Endividamento ," R$4,931,483 "," R$2,639,409 "," R$3,492,175 "," R$3,344,990 "," R$4,067,618 "," R$8,020,735 ",10%," R$3,683,357 ",20%,67%,22%,11%,7%,1.11,31/12/2021," R$421,746 "," 55,216 ", Liquidez Alta 
 CCR SA , ON , CCRO3 ," R$24,825,800 ",0.7%,0.7%,Small Cap, Crescimento , Novo Mercado , Bens industriais , Transporte , Exploração de rodovias ,7.20,13.9%,-,2.20,1.50,12.29, R$0.16 , R$1.71 ,1.3%,10%," R$11,478,863 "," R$27,416,815 "," R$4,031,727 "," R$23,385,088 ",2.39,-, Dívida Alta ," R$3,551,992 "," R$5,261,860 "," R$5,052,348 "," R$3,817,776 "," R$5,489,434 ", - ,-," R$4,700,424 ",-,N/D,38%,14%,7%,0.99,31/03/2022," R$687,933 "," 81,601 ", Liquidez Alta 
 Lojas Renner , ON , LREN3 ," R$24,799,983 ",1.2%,1.1%,Small Cap, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Comércio , Tecidos vestuário e calçados ,25.40,3.9%,11.00,2.60,2.10,25.28, R$0.48 , R$1.00 ,1.9%,48%," R$9,624,740 "," R$3,687,274 "," R$5,312,889 ","-R$1,625,615 ",0.38,-0.95, Empresa com Mais Caixa que Dívida ," R$1,198,033 "," R$1,286,951 "," R$1,416,289 "," R$1,738,395 "," R$2,373,745 "," R$2,083,249 ",12%," R$1,055,721 ",85%,94%,18%,8%,5%,1.16,31/03/2022," R$1,954,475 "," 237,647 ", Liquidez Alta 
 Klabin S/A , ON , KLBN3 ," R$23,367,139 ",-,-,Small Cap, Crescimento , Nível 2 , Materiais básicos , Madeira e papel , Papel e celulose ,6.90,14.4%,4.70,2.90,1.40,4.58, R$0.20 , R$0.66 ,4.5%,31%," R$8,615,569 "," R$24,074,918 "," R$4,149,655 "," R$19,925,263 ",2.79,1.98, Dívida Moderada ," R$2,490,549 "," R$2,821,258 "," R$3,492,539 "," R$4,656,952 "," R$4,719,788 "," R$9,022,831 ",29%," R$5,671,313 ",78%,165%,102%,14%,10%,0.50,31/03/2022," R$2,926 "," 2,289 ", Liquidez Moderada 
 Klabin S/A , PN , KLBN4 ," R$23,367,139 ",-,-,Small Cap, Crescimento , Nível 2 , Materiais básicos , Madeira e papel , Papel e celulose ,6.10,16.3%,4.70,2.60,1.30,4.06, R$0.20 , R$0.66 ,5.0%,31%," R$8,615,569 "," R$24,074,918 "," R$4,149,655 "," R$19,925,263 ",2.79,1.98, Dívida Moderada ," R$2,490,549 "," R$2,821,258 "," R$3,492,539 "," R$4,656,952 "," R$4,719,788 "," R$9,022,831 ",29%," R$5,671,313 ",78%,165%,102%,14%,10%,0.49,31/03/2022," R$10,643 "," 4,509 ", Liquidez Alta 
 Klabin S/A , UNT N2 , KLBN11 ," R$23,367,139 ",0.9%,0.8%,Small Cap, Crescimento , Nível 2 , Materiais básicos , Madeira e papel , Papel e celulose ,6.30,15.8%,4.70,2.70,1.30,20.90, R$0.20 , R$0.66 ,4.9%,31%," R$8,615,569 "," R$24,074,918 "," R$4,149,655 "," R$19,925,263 ",2.79,1.98, Dívida Moderada ," R$2,490,549 "," R$2,821,258 "," R$3,492,539 "," R$4,656,952 "," R$4,719,788 "," R$9,022,831 ",29%," R$5,671,313 ",78%,165%,102%,14%,10%,0.51,31/03/2022," R$601,519 "," 99,283 ", Liquidez Alta 
 Grupo Natura , ON , NTCO3 ," R$23,326,996 ",0.7%,0.7%,Small Cap, Crescimento , Novo Mercado , Consumo não cíclico , Produtos de uso pessoal e de limpeza , Produtos de uso pessoal ,41.90,2.4%,8.50,1.00,0.60,17.03, R$0.13 , R$0.41 ,0.8%,32%," R$23,821,945 "," R$11,866,976 "," R$3,038,524 "," R$8,828,452 ",0.50,2.03, Baixo Endividamento ," R$1,495,966 "," R$1,343,639 "," R$1,741,993 "," R$1,846,604 "," R$2,468,664 "," R$3,612,346 ",19%,"-R$96,295 ",-1434%,50%,2%,2%,1%,1.43,31/03/2022," R$1,365,116 "," 220,398 ", Liquidez Alta 
 Hypera , ON , HYPE3 ," R$23,268,896 ",0.8%,0.7%,Small Cap, Crescimento e Dividendos , Novo Mercado , Saúde , Comércio e distribuição , Medicamentos e outros produtos ,16.90,5.9%,13.30,2.40,3.70,36.84, R$1.23 , R$2.17 ,3.4%,57%," R$9,892,277 "," R$8,199,655 "," R$1,595,166 "," R$6,604,489 ",0.83,2.94, Baixo Endividamento ," R$990,838 "," R$1,141,145 "," R$1,236,908 "," R$1,318,705 "," R$1,206,047 "," R$2,245,384 ",18%," R$1,559,857 ",112%,1242%,15%,8%,7%,0.67,31/03/2022," R$467,743 "," 62,859 ", Liquidez Alta 
 Petrorio , ON , PRIO3 ," R$23,072,377 ",1.1%,1.0%,Small Cap, Crescimento , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,8.90,11.2%,6.10,3.40,4.20,26.14, R$-   , R$2.94 ,0.0%,0%," R$6,722,946 "," R$4,810,322 "," R$3,091,614 "," R$1,718,708 ",0.72,-0.17, Baixo Endividamento ," R$150,050 "," R$328,655 "," R$131,666 "," R$247,220 "," R$1,387,214 "," R$3,688,959 ",90%," R$2,430,372 ",56%,147%,46%,27%,19%,2.03,31/03/2022," R$1,917,942 "," 164,889 ", Liquidez Alta 
 Csn Mineracao , ON , CMIN3 ," R$22,985,665 ",0.3%,0.2%,Small Cap, Crescimento e Dividendos , Nível 2 , Materiais básicos , Mineração , Minerais metálicos ,4.90,20.4%,2.30,1.60,1.30,4.19, R$0.88 , R$0.85 ,20.9%,103%," R$14,739,914 "," R$4,319,787 "," R$6,352,605 ","-R$2,032,818 ",0.29,-0.25, Empresa com Mais Caixa que Dívida , - , - ," R$1,935,036 "," R$2,500,459 "," R$5,801,738 "," R$8,967,503 ",-," R$3,055,583 ",49%,178%,36%,37%,20%,-,31/03/2022," R$200,169 "," 50,343 ", Liquidez Alta 
 Sid Nacional , ON , CSNA3 ," R$22,877,376 ",0.6%,0.6%,Small Cap, Crescimento , Tradicional , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,2.90,34.8%,2.10,1.00,0.50,17.24, R$2.14 , R$6.00 ,12.4%,36%," R$21,883,329 "," R$30,884,066 "," R$13,300,704 "," R$17,583,362 ",1.41,0.78, Baixo Endividamento ," R$6,354,465 "," R$3,267,973 "," R$4,437,300 "," R$8,219,581 "," R$5,061,248 "," R$19,310,166 ",25%," R$7,478,125 ",56%,176%,54%,25%,12%,1.39,31/03/2022," R$1,330,953 "," 128,366 ", Liquidez Alta 
 Caixa Seguri , ON , CXSE3 ," R$22,320,000 ",-,-,Small Cap, Crescimento e Dividendos , Novo Mercado , Financeiro , Previdência e seguros , Seguradoras ,11.00,9.1%,9.20,2.00,-,7.44, R$0.54 , R$0.67 ,7.3%,80%," R$11,120,118 ", R$-   , R$944 ,-R$944 ,0.00,-0.42, Empresa com Mais Caixa que Dívida , - ," R$1,209,440 ", - , - , - ," R$2,330,671 ",-," R$2,089,945 ",0%,0%,20%,15%,18%,-,31/03/2022," R$83,944 "," 17,676 ", Liquidez Alta 
 Vibra , ON , VBBR3 ," R$21,886,910 ",1.1%,1.0%,Small Cap, Crescimento , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,9.00,11.1%,10.10,1.80,0.20,19.41, R$0.58 , R$2.16 ,3.0%,27%," R$12,308,000 "," R$13,833,000 "," R$3,625,000 "," R$10,208,000 ",1.12,3.23, Baixo Endividamento ,"-R$1,165,000 "," R$439,000 "," R$2,574,000 "," R$2,803,000 "," R$1,881,000 "," R$3,165,000 ",-222%," R$2,276,000 ",20%,81%,21%,7%,7%,1.24,31/12/2021," R$726,385 "," 116,114 ", Liquidez Alta 
 Neoenergia , ON , NEOE3 ," R$21,241,445 ",-,-,Small Cap, Crescimento , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,5.10,19.4%,5.30,0.90,0.50,17.50, R$0.80 , R$3.40 ,4.6%,24%," R$24,913,000 "," R$39,350,000 "," R$5,335,000 "," R$34,015,000 ",1.58,3.22, Dívida Alta ," R$2,242,582 "," R$2,700,503 "," R$3,003,822 "," R$4,397,944 "," R$5,572,125 "," R$10,536,000 ",36%," R$1,162,000 ",296%,184%,19%,8%,5%,0.70,31/03/2022," R$99,173 "," 24,587 ", Liquidez Alta 
 Assai , ON , ASAI3 ," R$20,526,969 ",0.6%,0.6%,Small Cap, Crescimento , Novo Mercado , Consumo não cíclico , Comércio e distribuição , Alimentos ,11.60,8.6%,8.20,8.50,0.80,15.24, R$0.17 , R$1.18 ,1.1%,15%," R$2,984,000 "," R$10,999,000 "," R$4,389,000 "," R$6,610,000 ",3.69,1.96, Dívida Moderada , - , - ," R$1,113,000 "," R$2,014,000 "," R$2,212,000 "," R$3,370,000 ",-," R$4,344,000 ",106%,618%,100%,10%,5%,-,31/03/2022," R$692,693 "," 109,208 ", Liquidez Alta 
 Americanas , ON , AMER3 ," R$20,399,757 ",0.7%,0.6%,Small Cap, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Comércio , Produtos diversos ,31.70,3.2%,-,1.30,0.70,22.67, R$0.62 , R$0.71 ,2.7%,87%," R$15,327,319 "," R$14,134,256 "," R$1,859,026 "," R$12,275,230 ",0.92,-, Baixo Endividamento ," R$652,069 "," R$652,922 "," R$583,279 "," R$412,315 "," R$626,359 ", - ,-,"-R$857,662 ",-,N/D,6%,3%,1%,1.05,31/03/2022," R$946,697 "," 102,503 ", Liquidez Alta 
 Energisa , ON , ENGI3 ," R$19,125,061 ",-,-,Small Cap, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,10.70,9.3%,-,3.00,1.00,14.85, R$0.57 , R$1.38 ,3.8%,41%," R$8,915,062 "," R$23,580,351 "," R$1,045,547 "," R$22,534,804 ",2.65,-, Dívida Alta ," R$1,564,597 "," R$1,820,223 "," R$2,052,568 "," R$3,817,591 "," R$3,499,912 ", - ,-," R$1,335,486 ",280%,N/D,33%,9%,5%,0.43,31/03/2022, R$412 , 206 , Liquidez Baixa 
 Energisa , PN , ENGI4 ," R$19,125,061 ",-,-,Small Cap, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,5.40,18.4%,-,1.50,0.50,7.50, R$0.57 , R$1.38 ,7.6%,41%," R$8,915,062 "," R$23,580,351 "," R$1,045,547 "," R$22,534,804 ",2.65,-, Dívida Alta ," R$1,564,597 "," R$1,820,223 "," R$2,052,568 "," R$3,817,591 "," R$3,499,912 ", - ,-," R$1,335,486 ",280%,N/D,33%,9%,5%,1.09,31/03/2022," R$1,432 ", 586 , Liquidez Moderada 
 Energisa , UNT N2 , ENGI11 ," R$19,125,061 ",0.6%,0.5%,Small Cap, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.50,15.4%,-,1.80,0.60,45.00, R$0.57 , R$1.38 ,6.3%,41%," R$8,915,062 "," R$23,580,351 "," R$1,045,547 "," R$22,534,804 ",2.65,-, Dívida Alta ," R$1,564,597 "," R$1,820,223 "," R$2,052,568 "," R$3,817,591 "," R$3,499,912 ", - ,-," R$1,335,486 ",280%,N/D,33%,9%,5%,0.92,31/03/2022," R$565,305 "," 46,735 ", Liquidez Alta 
 Copel , ON , CPLE3 ," R$18,036,951 ",-,-,Small Cap, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,3.40,29.3%,3.90,0.70,0.70,6.03, R$1.06 , R$1.77 ,17.6%,60%," R$22,501,365 "," R$11,831,470 "," R$3,970,974 "," R$7,860,496 ",0.53,1.17, Baixo Endividamento ," R$2,585,210 "," R$2,752,398 "," R$2,872,980 "," R$3,143,226 "," R$4,284,517 "," R$6,716,239 ",21%," R$4,046,594 ",47%,167%,25%,9%,10%,0.77,31/03/2022," R$27,029 "," 10,611 ", Liquidez Alta 
 Copel , PNB , CPLE6 ," R$18,036,951 ",0.5%,0.5%,Small Cap, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,3.90,25.5%,3.90,0.80,0.80,6.91, R$1.17 , R$1.77 ,16.9%,66%," R$22,501,365 "," R$11,831,470 "," R$3,970,974 "," R$7,860,496 ",0.53,1.17, Baixo Endividamento ," R$2,585,210 "," R$2,752,398 "," R$2,872,980 "," R$3,143,226 "," R$4,284,517 "," R$6,716,239 ",21%," R$4,046,594 ",47%,167%,25%,9%,10%,0.80,31/03/2022," R$377,563 "," 70,330 ", Liquidez Alta 
 Copel , UNT , CPLE11 ," R$18,036,951 ",-,-,Small Cap, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,3.80,26.2%,3.90,0.80,0.80,33.75, R$1.15 , R$1.77 ,17.0%,65%," R$22,501,365 "," R$11,831,470 "," R$3,970,974 "," R$7,860,496 ",0.53,1.17, Baixo Endividamento ," R$2,585,210 "," R$2,752,398 "," R$2,872,980 "," R$3,143,226 "," R$4,284,517 "," R$6,716,239 ",21%," R$4,046,594 ",47%,167%,25%,9%,10%,-,31/03/2022," R$69,753 "," 14,553 ", Liquidez Alta 
 Tran Paulist , PN , TRPL4 ," R$17,840,714 ",-,-,Small Cap, Crescimento , Nível 1 , Utilidade pública , Energia elétrica , Energia elétrica ,5.40,18.4%,5.50,1.10,2.80,24.56, R$1.99 , R$4.52 ,8.1%,44%," R$14,896,477 "," R$7,806,848 "," R$316,445 "," R$7,490,403 ",0.52,1.45, Baixo Endividamento ," R$622,579 "," R$7,402,236 "," R$2,056,948 "," R$2,468,072 "," R$2,361,135 "," R$4,541,776 ",49%," R$763,542 ",14%,427%,22%,11%,10%,0.50,31/03/2022," R$236,820 "," 36,025 ", Liquidez Alta 
 Eneva , ON , ENEV3 ," R$16,987,439 ",0.8%,0.8%,Small Cap, Crescimento , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,14.50,6.9%,-,1.80,3.40,13.26, R$-   , R$0.91 ,0.0%,0%," R$9,391,461 "," R$9,622,129 "," R$696,884 "," R$8,925,245 ",1.02,-, Baixo Endividamento ," R$277,347 "," R$916,650 "," R$1,124,612 "," R$1,562,969 "," R$1,456,692 ", - ,-," R$842,258 ",-,N/D,14%,6%,5%,0.69,31/03/2022," R$361,506 "," 72,010 ", Liquidez Alta 
 Comgas , PNA , CGAS5 ," R$16,414,226 ",-,-,Small Cap, Crescimento e Dividendos , Tradicional , Utilidade pública , Gás , Gás ,7.60,13.2%,7.10,18.10,1.20,119.70, R$17.87 , R$15.76 ,14.9%,113%," R$874,785 "," R$7,403,252 "," R$1,477,619 "," R$5,925,633 ",8.46,1.89, Dívida Moderada ," R$1,530,474 "," R$1,965,283 "," R$1,518,481 "," R$2,186,264 "," R$2,512,613 "," R$3,133,193 ",15%," R$2,218,187 ",50%,245%,222%,20%,16%,0.40,31/03/2022," R$1,686 ", 92 , Liquidez Moderada 
 Sao Martinho , ON , SMTO3 ," R$15,995,601 ",-,0.3%,Small Cap, Crescimento e Dividendos , Novo Mercado , Consumo não cíclico , Alimentos processados , Açúcar e álcool ,10.90,9.1%,7.10,3.30,3.00,46.18, R$2.33 , R$4.22 ,5.1%,55%," R$4,842,159 "," R$6,598,345 "," R$323,650 "," R$6,274,695 ",1.36,1.71, Baixo Endividamento ," R$1,047,476 "," R$1,101,481 "," R$1,327,046 "," R$1,616,898 "," R$1,738,649 "," R$2,974,716 ",23%," R$3,178,668 ",71%,325%,36%,13%,10%,1.15,31/12/2021," R$316,765 "," 42,300 ", Liquidez Alta 
 Totvs , ON , TOTS3 ," R$15,487,849 ",0.7%,0.6%,Small Cap, Crescimento , Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,40.90,2.4%,18.60,3.60,4.30,25.47, R$0.22 , R$0.62 ,0.9%,35%," R$4,308,031 "," R$1,799,896 "," R$2,853,672 ","-R$1,053,776 ",0.42,-1.54, Empresa com Mais Caixa que Dívida ," R$331,968 "," R$343,917 "," R$294,493 "," R$259,439 "," R$472,237 "," R$781,547 ",19%," R$580,885 ",356%,757%,14%,8%,4%,0.98,31/03/2022," R$1,680,747 "," 215,996 ", Liquidez Alta 
 Auren , ON , AURE3 ," R$14,240,000 ",-,0.2%,Small Cap, Crescimento e Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,113.10,0.9%,11.40,1.50,2.50,14.24, - , R$0.13 ,N/D,-," R$4,457,403 "," R$4,716,372 "," R$1,595,818 "," R$3,120,554 ",1.06,1.59, Baixo Endividamento , - , - , - , - , - ," R$1,918,896 ",-," R$1,016,884 ",65%,118%,,5%,2%,-,31/12/2021," R$144,276 "," 38,707 ", Liquidez Alta 
 Multiplan , ON , MULT3 ," R$14,223,787 ",0.3%,0.3%,Small Cap, Dividendos , Nível 2 , Financeiro , Exploração de imóveis , Exploração de imóveis ,24.80,4.0%,16.80,2.20,9.90,24.19, R$0.50 , R$0.98 ,2.1%,51%," R$6,481,756 "," R$3,048,846 "," R$426,824 "," R$2,622,022 ",0.47,2.21, Baixo Endividamento ," R$781,400 "," R$810,798 "," R$818,053 "," R$939,182 "," R$925,006 "," R$976,342 ",5%," R$925,414 ",61%,274%,9%,6%,5%,1.17,31/03/2022," R$656,561 "," 113,044 ", Liquidez Alta 
 Taesa , ON , TAEE3 ," R$14,148,513 ",-,-,Small Cap, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.30,15.9%,5.90,1.90,4.20,13.51, R$1.73 , R$2.15 ,12.8%,81%," R$7,244,803 "," R$7,689,634 "," R$1,453,195 "," R$6,236,439 ",1.06,1.79, Baixo Endividamento ," R$1,539,294 "," R$1,374,547 "," R$930,186 "," R$1,436,255 "," R$1,418,195 "," R$3,481,321 ",18%," R$1,670,674 ",4%,239%,34%,15%,13%,0.50,31/03/2022," R$10,573 "," 4,697 ", Liquidez Alta 
 Taesa , PN , TAEE4 ," R$14,148,513 ",-,-,Small Cap, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.50,15.4%,5.90,2.00,4.30,13.93, R$1.73 , R$2.15 ,12.4%,81%," R$7,244,803 "," R$7,689,634 "," R$1,453,195 "," R$6,236,439 ",1.06,1.79, Baixo Endividamento ," R$1,539,294 "," R$1,374,547 "," R$930,186 "," R$1,436,255 "," R$1,418,195 "," R$3,481,321 ",18%," R$1,670,674 ",4%,239%,34%,15%,13%,0.61,31/03/2022," R$22,450 "," 5,175 ", Liquidez Alta 
 Taesa , UNT N2 , TAEE11 ," R$14,148,513 ",0.5%,0.4%,Small Cap, Crescimento e Dividendos , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.30,15.8%,5.90,1.90,4.20,40.72, R$1.73 , R$2.15 ,12.8%,81%," R$7,244,803 "," R$7,689,634 "," R$1,453,195 "," R$6,236,439 ",1.06,1.79, Baixo Endividamento ," R$1,539,294 "," R$1,374,547 "," R$930,186 "," R$1,436,255 "," R$1,418,195 "," R$3,481,321 ",18%," R$1,670,674 ",4%,239%,34%,15%,13%,0.56,31/03/2022," R$681,944 "," 72,745 ", Liquidez Alta 
 Ultrapar , ON , UGPA3 ," R$14,017,996 ",0.7%,0.6%,Small Cap, Crescimento , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,12.00,8.4%,12.00,1.30,0.10,12.85, R$0.37 , R$1.07 ,2.9%,35%," R$10,542,239 "," R$17,133,737 "," R$2,252,526 "," R$14,881,211 ",1.63,5.88, Dívida Alta ," R$3,953,293 "," R$4,216,724 "," R$4,063,544 "," R$2,697,064 "," R$2,788,362 "," R$2,370,378 ",-10%," R$1,274,463 ",81%,170%,12%,4%,3%,1.22,31/03/2022," R$629,676 "," 90,586 ", Liquidez Alta 
 Alpargatas , ON , ALPA3 ," R$13,926,311 ",-,-,Small Cap," Alerta, Baixo Crescimento ", Nível 1 , Consumo cíclico , Tecidos vestuário e calçados , Calçados ,19.20,5.2%,18.70,2.40,2.90,19.26, R$0.40 , R$1.00 ,2.1%,39%," R$5,405,787 "," R$118,488 "," R$1,734,399 ","-R$1,615,911 ",0.02,-2.45, Empresa com Mais Caixa que Dívida ," R$470,416 "," R$575,964 "," R$486,239 "," R$564,674 "," R$588,303 "," R$659,835 ",7%," R$111,236 ",1416%,1204%,19%,9%,7%,0.91,31/03/2022, R$363 , 97 , Liquidez Baixa 
 Alpargatas , PN , ALPA4 ," R$13,926,311 ",0.2%,0.2%,Small Cap, Crescimento , Nível 1 , Consumo cíclico , Tecidos vestuário e calçados , Calçados ,22.00,4.5%,18.70,2.80,3.30,22.08, R$0.44 , R$1.00 ,2.0%,43%," R$5,405,787 "," R$118,488 "," R$1,734,399 ","-R$1,615,911 ",0.02,-2.45, Empresa com Mais Caixa que Dívida ," R$470,416 "," R$575,964 "," R$486,239 "," R$564,674 "," R$588,303 "," R$659,835 ",7%," R$111,236 ",1416%,1204%,19%,9%,7%,0.85,31/03/2022," R$551,608 "," 125,698 ", Liquidez Alta 
 BRF SA , ON , BRFS3 ," R$13,553,940 ",0.7%,0.6%,Small Cap," Alerta, Prejuízo ", Novo Mercado , Consumo não cíclico , Alimentos processados , Carnes e derivados ,-9.10,-11.0%,5.80,1.10,0.20,12.58, R$-   ,-R$1.38 ,0.0%,0%," R$12,423,107 "," R$22,577,235 "," R$9,082,246 "," R$13,494,989 ",1.82,2.85, Dívida Moderada ," R$5,545,090 "," R$3,418,015 "," R$2,654,094 "," R$1,540,867 "," R$5,254,051 "," R$4,618,553 ",-4%," R$807,466 ",8%,2%,-14%,4%,-2%,1.47,31/03/2022," R$644,466 "," 110,314 ", Liquidez Alta 
 Vamos , ON , VAMO3 ," R$13,032,888 ",-,-,Small Cap, Crescimento , Novo Mercado , Consumo cíclico , Diversos , Aluguel de carros ,28.00,3.6%,13.40,4.70,3.90,13.45, R$0.20 , R$0.48 ,1.5%,41%," R$2,749,898 "," R$6,115,655 "," R$284,390 "," R$5,831,265 ",2.22,2.56, Dívida Moderada , - , R$133 , R$270 ," R$426,119 "," R$527,624 "," R$1,207,254 ",-,"-R$4,362,384 ",-1%,21%,32%,9%,4%,-,31/03/2022," R$193,368 "," 55,623 ", Liquidez Alta 
 Energias BR , ON , ENBR3 ," R$12,467,289 ",0.3%,0.2%,Small Cap, Crescimento e Dividendos , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,5.80,17.3%,4.90,1.10,0.70,21.80, R$2.19 , R$3.77 ,10.1%,58%," R$11,555,130 "," R$12,524,995 "," R$2,545,719 "," R$9,979,276 ",1.08,2.07, Baixo Endividamento ," R$2,888,626 "," R$2,182,361 "," R$2,170,303 "," R$2,773,174 "," R$2,982,817 "," R$4,747,203 ",10%," R$1,814,757 ",184%,451%,21%,9%,7%,0.57,31/03/2022," R$279,104 "," 48,188 ", Liquidez Alta 
 Locamerica , ON , LCAM3 ," R$12,274,326 ",0.4%,0.4%,Small Cap, Crescimento , Novo Mercado , Consumo cíclico , Diversos , Aluguel de carros ,12.30,8.1%,7.80,2.40,1.80,24.20, R$0.56 , R$1.97 ,2.3%,29%," R$5,076,603 "," R$10,446,216 "," R$2,014,052 "," R$8,432,164 ",2.06,3.13, Dívida Alta ," R$222,758 "," R$248,826 "," R$361,341 "," R$840,714 "," R$1,269,858 "," R$2,645,650 ",64%,"-R$522,066 ",-31%,26%,23%,10%,5%,1.59,31/03/2022," R$280,806 "," 58,797 ", Liquidez Alta 
 Porto Seguro , ON , PSSA3 ," R$12,246,739 ",-,0.2%,Small Cap, Crescimento e Dividendos , Novo Mercado , Financeiro , Previdência e seguros , Seguradoras ,8.60,11.6%,2.40,1.30,0.60,19.20, R$1.07 , R$2.23 ,5.6%,48%," R$9,296,642 ", R$-   ," R$1,887,071 ","-R$1,887,071 ",0.00,-7.23, Empresa com Mais Caixa que Dívida ," R$538,726 "," R$326,985 "," R$628,341 "," R$1,493,052 "," R$1,225,313 "," R$1,273,933 ",19%," R$3,179,947 ",20%,272%,16%,9%,3%,0.70,31/03/2022," R$216,500 "," 47,644 ", Liquidez Alta 
 Usiminas , ON , USIM3 ," R$12,159,048 ",-,-,Small Cap, Crescimento , Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,1.30,78.6%,1.20,0.50,0.30,9.65, R$1.75 , R$7.58 ,18.1%,23%," R$22,934,454 "," R$5,550,533 "," R$5,450,262 "," R$100,271 ",0.24,-0.09, Baixo Endividamento ,"-R$2,317,507 "," R$994,899 "," R$2,055,721 "," R$2,171,806 "," R$1,944,296 "," R$11,615,333 ",-238%," R$5,404,149 ",27%,153%,56%,26%,26%,1.12,31/03/2022," R$33,247 "," 14,805 ", Liquidez Alta 
 Usiminas , PNA , USIM5 ," R$12,159,048 ",0.3%,0.3%,Small Cap, Crescimento , Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,1.30,74.5%,1.20,0.50,0.40,10.18, R$1.92 , R$7.58 ,18.9%,25%," R$22,934,454 "," R$5,550,533 "," R$5,450,262 "," R$100,271 ",0.24,-0.09, Baixo Endividamento ,"-R$2,317,507 "," R$994,899 "," R$2,055,721 "," R$2,171,806 "," R$1,944,296 "," R$11,615,333 ",-238%," R$5,404,149 ",27%,153%,56%,26%,26%,1.26,31/03/2022," R$1,414,412 "," 132,680 ", Liquidez Alta 
